transaction_items
"kumol sawul,rice,til pitha"
"bilahi maas,hando guri,rice"
"bilahi maas,koldil chicken,rice"
"bilahi maas,gheela pitha,rice"
"koldil chicken,kumol sawul,rice"
"hando guri,koldil chicken,rice"
"bilahi maas,koldil chicken,rice"
"hando guri,koldil chicken,rice"
"hando guri,koldil chicken,rice"
"bengena pitika,koldil chicken,rice"
"hando guri,koldil chicken,rice"
"alu pitika,bilahi maas,rice"
"hando guri,koldil chicken,rice"
"gheela pitha,koldil chicken,rice"
"hando guri,koldil chicken,rice"
"hando guri,koldil chicken,rice"
"koldil chicken,rice"
"bilahi maas,hando guri,rice"
"bilahi maas,rice"
"bilahi maas,masor koni,rice"
"bora sawul,haq maas,rice"
"bilahi maas,koldil chicken,rice"
"koldil chicken,rice"
"bilahi maas,hando guri,rice"
"hando guri,konir dom,rice"
"bilahi maas,pithe,rice"
"bengena pitika,bilahi maas,rice"
"bilahi maas,rice"
"bengena pitika,bilahi maas,rice"
"koldil chicken,koldil duck,rice"
"hando guri,koldil chicken,rice"
"koldil duck,kumol sawul,rice"
"bilahi maas,bora sawul,rice"
"hando guri,koldil chicken,rice"
"khorisa,koldil chicken,rice"
"hando guri,koldil chicken,rice"
"bilahi maas,koldil duck,rice"
"hando guri,koldil chicken,rice"
"bengena pitika,haq maas,rice"
"hando guri,khorisa,rice"
"bilahi maas,hando guri,rice"
"bilahi maas,koldil chicken,rice"
"bilahi maas,koldil chicken,rice"
"masor tenga,pithe,rice"
"hando guri,koldil duck,rice"
"bora sawul,koldil duck,rice"
"koldil chicken,masor tenga,rice"
"alu pitika,bilahi maas,rice"
"bilahi maas,koldil chicken,rice"
"bengena pitika,rice,til pitha"
"bilahi maas,koldil chicken,rice"
"bilahi maas,koldil chicken,rice"
"haq maas,koldil chicken,rice"
"bengena pitika,bilahi maas,rice"
"bilahi maas,lyangcha,rice"
"hando guri,rice"
"gheela pitha,hando guri,rice"
"alu pitika,koldil chicken,rice"
"bengena pitika,hando guri,rice"
"hando guri,haq maas,rice"
"bilahi maas,lyangcha,rice"
"hando guri,pithe,rice"
"bilahi maas,koldil chicken,rice"
"bilahi maas,hando guri,rice"
"khar,pithe,rice"
"bilahi maas,koldil chicken,rice"
"bilahi maas,konir dom,rice"
"bilahi maas,rice"
"koldil chicken,rice"
"bilahi maas,hando guri,rice"
"koldil chicken,koldil duck,rice"
"khar,koldil chicken,rice"
"bengena pitika,koldil chicken,rice"
"bilahi maas,rice"
"bilahi maas,rice,til pitha"
"bora sawul,hando guri,rice"
"bengena pitika,koldil chicken,rice"
"bilahi maas,rice"
