transaction_items
"mohanthal,sev khamani,thepla"
"farsi puri,jeera aloo,saath"
"farsi puri,jeera aloo,mag dhokli"
"daal dhokli,khandvi,saath"
"basundi,chorafali,thepla"
"handwo,kutchi dabeli,thepla"
"chevdo,jeera aloo,thepla"
"daal dhokli,jeera aloo,namakpara"
"bajri no rotlo,chevdo,jeera aloo"
"farsi puri,kansar,khandvi"
"bajri no rotlo,kansar,saath"
"daal dhokli,khandvi,saath"
"bajri no rotlo,jeera aloo,khakhra"
"bajri no rotlo,doodhpak,khandvi"
"bajri no rotlo,kansar,khichu"
"bajri no rotlo,dudhi halwa,halvasan"
"farsi puri,jeera aloo,kansar"
"handwo,namakpara,thepla"
"bajri no rotlo,khichu,mag dhokli"
"daal dhokli,handwo,khichu"
"khichu,saath,thepla"
"farsi puri,kansar,saath"
"daal dhokli,kansar,saath"
"farsi puri,handwo,jeera aloo"
"jeera aloo,saath,thepla"
"handwo,thepla"
"copra paak,saath,thepla"
"jeera aloo,kansar,thepla"
"bajri no rotlo,handwo,kansar"
"daal dhokli,jeera aloo,kansar"
"jeera aloo,saath,thepla"
"kansar,khandvi,thepla"
"daal dhokli,kansar,khandvi"
"farsi puri,saath,turiya patra vatana sabji"
"basundi,daal dhokli,handwo"
"farsi puri,handwo,khandvi"
"bajri no rotlo,khandvi"
"bajri no rotlo,chorafali,saath"
"bajri no rotlo,saath,turiya patra vatana sabji"
"jeera aloo,khakhra,thepla"
"farsi puri,jeera aloo,undhiyu"
"handwo,khandvi,thepla"
"farsi puri,kansar,sev khamani"
"daal dhokli,kansar,saath"
"bajri no rotlo,handwo,khandvi"
"farsi puri,jeera aloo,kansar"
"bajri no rotlo,jeera aloo,saath"
"jeera aloo,kansar,thepla"
"farsi puri,handwo,saath"
"daal dhokli,dudhi halwa,saath"
"daal dhokli,jeera aloo"
"daal dhokli,handwo,kansar"
"doodhpak,kutchi dabeli,thepla"
"kansar,saath,thepla"
"farsi puri,halvasan,khandvi"
"copra paak,mohanthal,thepla"
"copra paak,saath,thepla"
"handwo,sev khamani,thepla"
"farsi puri,ghooghra,khandvi"
"bajri no rotlo,handwo,khandvi"
"daal dhokli,handwo,saath"
"khandvi,saath,thepla"
"farsi puri,handwo,jeera aloo"
"bajri no rotlo,gud papdi,mag dhokli"
"basundi,daal dhokli,keri no ras"
"daal dhokli,handwo,khichu"
"khandvi,sev khamani,thepla"
"jeera aloo,patra,thepla"
"bajri no rotlo,gud papdi,handwo"
"daal dhokli,handwo,muthiya"
"kansar,mohanthal,thepla"
"bajri no rotlo,handwo,muthiya"
"farsi puri,gud papdi,saath"
"daal dhokli,jeera aloo,khandvi"
"farsi puri,handwo,khandvi"
"farsi puri,methi na gota,saath"
"basundi,farsi puri,handwo"
"farsi puri,kansar,namakpara"
"farsi puri,jeera aloo,kansar"
"farsi puri,khandvi"
"bajri no rotlo,jeera aloo,kansar"
"daal dhokli,handwo"
"jeera aloo,saath,thepla"
"gud papdi,halvasan,thepla"
"khandvi,thepla"
"jeera aloo,saath,thepla"
"bajri no rotlo,chevdo,handwo"
"dhokla,farsi puri,khandvi"
"bajri no rotlo,kutchi dabeli,saath"
"daal dhokli,handwo,khandvi"
"bajri no rotlo,handwo,keri no ras"
"khandvi,saath,thepla"
"daal dhokli,kansar,saath"
"jeera aloo,muthiya,thepla"
"farsi puri,jeera aloo,saath"
"chorafali,farsi puri,saath"
"bajri no rotlo,jeera aloo"
"farsi puri,khandvi"
"bajri no rotlo,kansar,saath"
"gud papdi,khandvi,thepla"
"daal dhokli,doodhpak,kansar"
"bajri no rotlo,kansar,saath"
"kansar,muthiya,thepla"
"bajri no rotlo,handwo"
"daal dhokli,saath"
"daal dhokli,kansar,saath"
"bajri no rotlo,jeera aloo,sev tameta"
"chorafali,namakpara,thepla"
"doodhpak,sev khamani,thepla"
"kansar,thepla,undhiyu"
"khandvi,namakpara,thepla"
"patra,saath,thepla"
"farsi puri,handwo,jeera aloo"
"farsi puri,jeera aloo,kansar"
"farsi puri,kansar,khandvi"
"kansar,saath,thepla"
"daal dhokli,kansar,khandvi"
"farsi puri,handwo,undhiyu"
"handwo,jeera aloo,thepla"
"jeera aloo,khandvi,thepla"
"farsi puri,kutchi dabeli,saath"
"farsi puri,handwo,khandvi"
"farsi puri,halvasan,khaman"
"daal dhokli,handwo,saath"
"dudhi halwa,patra,thepla"
"khandvi,lilva kachori,thepla"
"bajri no rotlo,dudhi halwa,keri no ras"
"jeera aloo,saath,thepla"
"bajri no rotlo,jeera aloo,sev tameta"
"bajri no rotlo,kansar"
"doodhpak,saath,thepla"
"daal dhokli,kansar,sev khamani"
"copra paak,farsi puri,kansar"
"daal dhokli,handwo,jeera aloo"
"farsi puri,handwo,khandvi"
"farsi puri,saath"
"bajri no rotlo,chevdo,mohanthal"
"bajri no rotlo,keri no ras,undhiyu"
"basundi,farsi puri,halvasan"
"khichu,saath,thepla"
"handwo,thepla,turiya patra vatana sabji"
"farsi puri,jeera aloo,kansar"
"farsi puri,kansar,lilva kachori"
"daal dhokli,handwo,keri no ras"
"copra paak,jeera aloo,thepla"
"chorafali,farsi puri,khandvi"
"basundi,jeera aloo,thepla"
"farsi puri,handwo,khandvi"
"farsi puri,kansar,saath"
"bajri no rotlo,jeera aloo,sev tameta"
"bajri no rotlo,basundi,saath"
"farsi puri,handwo,saath"
"handwo,kansar,thepla"
"jeera aloo,khakhra,thepla"
"farsi puri,khandvi,saath"
"daal dhokli,handwo,jeera aloo"
"daal dhokli,jeera aloo,saath"
"bajri no rotlo,jeera aloo,undhiyu"
"daal dhokli,kansar,sev tameta"
"farsi puri,kansar,khichu"
"daal dhokli,kansar,saath"
"bajri no rotlo,jeera aloo,kansar"
"daal dhokli,khandvi,saath"
"bajri no rotlo,jeera aloo"
"farsi puri,kansar,khichu"
"farsi puri,ghooghra,handwo"
"chorafali,daal dhokli,khandvi"
"daal dhokli,mohanthal,saath"
"daal dhokli,muthiya,saath"
"farsi puri,handwo,muthiya"
"jeera aloo,keri no ras,thepla"
"farsi puri,kansar,khandvi"
"handwo,thepla"
"farsi puri,khandvi,saath"
"daal dhokli,kansar,sev khamani"
"daal dhokli,khakhra,saath"
"farsi puri,halvasan,patra"
"farsi puri,khandvi,saath"
"kansar,khandvi,thepla"
"handwo,mag dhokli,thepla"
"bajri no rotlo,muthiya,saath"
"bajri no rotlo,dhokla,khaman"
"basundi,saath,thepla"
"daal dhokli,handwo,saath"
"bajri no rotlo,handwo,jeera aloo"
"farsi puri,mohanthal,muthiya"
"bajri no rotlo,halvasan,khandvi"
"daal dhokli,mag dhokli,saath"
"farsi puri,khandvi,saath"
"bajri no rotlo,khakhra,mohanthal"
"kansar,khaman,thepla"
"bajri no rotlo,handwo,khandvi"
"farsi puri,khichu,mag dhokli"
"farsi puri,handwo,kansar"
"farsi puri,keri no ras,turiya patra vatana sabji"
"farsi puri,handwo,kansar"
"bajri no rotlo,dudhi halwa,handwo"
"kansar,saath,thepla"
"daal dhokli,jeera aloo"
"farsi puri,lilva kachori,saath"
"jeera aloo,namakpara,thepla"
"copra paak,methi na gota,thepla"
"farsi puri,kutchi dabeli,undhiyu"
"chevdo,farsi puri,jeera aloo"
"dhokla,farsi puri,kansar"
"chevdo,farsi puri,saath"
"daal dhokli,khandvi,saath"
"bajri no rotlo,methi na gota,undhiyu"
"bajri no rotlo,kansar,saath"
"farsi puri,handwo,khandvi"
"bajri no rotlo,doodhpak,kansar"
"chorafali,khandvi,thepla"
"keri no ras,sev khamani,thepla"
"basundi,daal dhokli,mag dhokli"
"chevdo,farsi puri,mag dhokli"
"farsi puri,khichu,undhiyu"
"farsi puri,handwo,turiya patra vatana sabji"
"bajri no rotlo,kansar,saath"
"khandvi,lilva kachori,thepla"
"ghooghra,handwo,thepla"
"daal dhokli,handwo,saath"
"daal dhokli,jeera aloo,mohanthal"
"daal dhokli,handwo,khandvi"
"farsi puri,handwo,mohanthal"
"farsi puri,jeera aloo,khandvi"
"copra paak,daal dhokli,kansar"
"farsi puri,handwo,khakhra"
"farsi puri,jeera aloo,khandvi"
"farsi puri,jeera aloo,mohanthal"
"daal dhokli,handwo,khandvi"
"bajri no rotlo,jeera aloo,kansar"
"farsi puri,handwo,saath"
"farsi puri,lilva kachori,saath"
"handwo,namakpara,thepla"
"farsi puri,handwo,kutchi dabeli"
"daal dhokli,kansar,saath"
"jeera aloo,kansar,thepla"
"kansar,saath,thepla"
"khandvi,sev khamani,thepla"
