transaction_items
"bisi bele bath,dharwad pedha,idli"
"idli,mysore pak,obbattu holige"
"dharwad pedha,dosa,mysore pak"
"idli,sandige"
"dharwad pedha,dosa,sandige"
"dharwad pedha,dosa,mysore pak"
"bisi bele bath,idli,koshambri"
"dharwad pedha,dosa,obbattu holige"
"dosa,koshambri,mysore pak"
"bisi bele bath,idli,koshambri"
"bisi bele bath,idli,mysore pak"
"dharwad pedha,idli,sandige"
"dharwad pedha,idli,sandige"
"bisi bele bath,idli,sandige"
"dharwad pedha,dosa,sandige"
"idli,sandige"
"dosa,sandige"
"dharwad pedha,idli,sandige"
"idli,sandige"
"dosa,sandige"
"bisi bele bath,dosa,mysore pak"
"dosa,koshambri,mysore pak"
"idli,mysore pak,sandige"
"idli,mysore pak"
"idli,sandige"
"dharwad pedha,dosa"
"dosa,koshambri,obbattu holige"
"bisi bele bath,dharwad pedha,idli"
"bisi bele bath,dosa,sandige"
"dosa,sandige"
"dharwad pedha,dosa,sandige"
"idli,koshambri"
"dosa,mysore pak,sandige"
"dosa,mysore pak,sandige"
"dharwad pedha,dosa,sandige"
"dharwad pedha,idli,mysore pak"
"bisi bele bath,dharwad pedha,dosa"
"idli,koshambri,sandige"
"bisi bele bath,dosa,sandige"
"dosa,sandige"
"dharwad pedha,dosa,mysore pak"
"dosa,mysore pak"
"idli,koshambri,sandige"
"idli,mysore pak,sandige"
"dharwad pedha,idli,mysore pak"
"idli,mysore pak,sandige"
"bisi bele bath,dosa,sandige"
"dharwad pedha,idli"
"dharwad pedha,dosa,mysore pak"
"dosa,koshambri,sandige"
"bisi bele bath,idli,sandige"
"dosa,mysore pak,sandige"
"idli,mysore pak,sandige"
"idli,koshambri,obbattu holige"
"idli,obbattu holige,sandige"
"bisi bele bath,dharwad pedha,idli"
"dharwad pedha,dosa,obbattu holige"
"idli,sandige"
"bisi bele bath,dosa,mysore pak"
"dharwad pedha,dosa,obbattu holige"
"dharwad pedha,idli,koshambri"
"idli,obbattu holige"
"dharwad pedha,dosa,sandige"
"bisi bele bath,dharwad pedha,dosa"
"idli,mysore pak,sandige"
"dharwad pedha,idli,sandige"
"dharwad pedha,dosa,sandige"
"bisi bele bath,idli,mysore pak"
"dosa,mysore pak"
"dharwad pedha,dosa,koshambri"
"idli,mysore pak,sandige"
"idli,koshambri,mysore pak"
"dosa,mysore pak,obbattu holige"
"idli,mysore pak,sandige"
"bisi bele bath,dharwad pedha,dosa"
"dosa,obbattu holige,sandige"
"bisi bele bath,dosa,koshambri"
"dharwad pedha,idli"
"dharwad pedha,idli,sandige"
"idli,obbattu holige,sandige"
"dharwad pedha,idli,sandige"
"idli,mysore pak"
"bisi bele bath,dharwad pedha,idli"
"dharwad pedha,dosa,mysore pak"
"dosa,mysore pak,obbattu holige"
"bisi bele bath,dosa,obbattu holige"
"bisi bele bath,dharwad pedha,dosa"
"dharwad pedha,idli,koshambri"
"bisi bele bath,idli,sandige"
"dosa,koshambri,sandige"
"bisi bele bath,dharwad pedha,idli"
"bisi bele bath,dharwad pedha,dosa"
"idli,obbattu holige,sandige"
"bisi bele bath,idli,mysore pak"
"idli,koshambri,obbattu holige"
"dharwad pedha,idli"
"bisi bele bath,dosa,sandige"
"idli,mysore pak,sandige"
"dharwad pedha,idli,mysore pak"
"dosa,mysore pak,sandige"
"dosa,mysore pak,sandige"
"bisi bele bath,idli"
"dharwad pedha,idli,sandige"
"dharwad pedha,idli,koshambri"
"idli,obbattu holige,sandige"
"bisi bele bath,dosa,sandige"
"dharwad pedha,idli"
"idli,sandige"
"idli,sandige"
"dharwad pedha,dosa,mysore pak"
"bisi bele bath,dosa,mysore pak"
"bisi bele bath,dharwad pedha,dosa"
"dosa,koshambri"
"dharwad pedha,dosa,obbattu holige"
"dosa,obbattu holige,sandige"
"dharwad pedha,dosa,mysore pak"
"bisi bele bath,dosa,obbattu holige"
"idli,mysore pak"
