transaction_items
"idli,mysore pak"
"idli,mysore pak,sandige"
"idli,mysore pak,obbattu holige"
"idli,koshambri,sandige"
"idli,obbattu holige"
"dharwad pedha,dosa,obbattu holige"
"dharwad pedha,idli,obbattu holige"
"dharwad pedha,idli"
"dharwad pedha,idli,obbattu holige"
"dharwad pedha,idli,mysore pak"
"bisi bele bath,idli,sandige"
"bisi bele bath,idli,mysore pak"
"bisi bele bath,dharwad pedha,dosa"
"dharwad pedha,idli"
"dosa,mysore pak,obbattu holige"
"dharwad pedha,idli"
"bisi bele bath,idli,mysore pak"
"bisi bele bath,idli,obbattu holige"
"dharwad pedha,dosa,mysore pak"
"dosa,koshambri,obbattu holige"
"idli,obbattu holige,sandige"
"dharwad pedha,idli"
"bisi bele bath,dharwad pedha,dosa"
"dosa,mysore pak,obbattu holige"
"bisi bele bath,dharwad pedha,idli"
"idli,koshambri,obbattu holige"
"bisi bele bath,idli,obbattu holige"
"dharwad pedha,dosa"
"dharwad pedha,idli,sandige"
"bisi bele bath,idli"
"bisi bele bath,dharwad pedha,idli"
"dosa,obbattu holige"
"bisi bele bath,idli"
"bisi bele bath,idli,obbattu holige"
"bisi bele bath,idli,koshambri"
"dosa,koshambri,obbattu holige"
"dharwad pedha,idli,obbattu holige"
"bisi bele bath,dosa,obbattu holige"
"dosa,koshambri,mysore pak"
"bisi bele bath,dosa,sandige"
"dharwad pedha,idli,obbattu holige"
"dosa,mysore pak,sandige"
"bisi bele bath,dosa,sandige"
"bisi bele bath,dharwad pedha,dosa"
"idli,mysore pak,obbattu holige"
"dharwad pedha,idli,mysore pak"
"dharwad pedha,dosa,obbattu holige"
"bisi bele bath,idli,sandige"
"bisi bele bath,idli,mysore pak"
"bisi bele bath,dosa,obbattu holige"
"dosa,obbattu holige"
"bisi bele bath,idli,mysore pak"
"dharwad pedha,dosa,mysore pak"
"dharwad pedha,dosa"
"idli,obbattu holige,sandige"
"bisi bele bath,dosa,obbattu holige"
"bisi bele bath,dosa"
"dharwad pedha,dosa,obbattu holige"
"idli,mysore pak,obbattu holige"
"bisi bele bath,idli,koshambri"
"bisi bele bath,idli,mysore pak"
"idli,koshambri,sandige"
"idli,mysore pak,obbattu holige"
"bisi bele bath,dosa,koshambri"
"dosa,mysore pak,sandige"
"dharwad pedha,idli,obbattu holige"
"dharwad pedha,idli"
"bisi bele bath,dharwad pedha,dosa"
"dharwad pedha,idli,obbattu holige"
"dharwad pedha,idli,sandige"
"dosa,mysore pak,obbattu holige"
"bisi bele bath,dosa"
"bisi bele bath,dharwad pedha,idli"
"bisi bele bath,dharwad pedha,idli"
"dharwad pedha,dosa,obbattu holige"
"bisi bele bath,dosa,mysore pak"
"idli,mysore pak"
"idli,koshambri,obbattu holige"
"dharwad pedha,dosa"
"bisi bele bath,idli"
"bisi bele bath,dosa,obbattu holige"
"dharwad pedha,idli,mysore pak"
"idli,mysore pak,obbattu holige"
"dharwad pedha,idli,obbattu holige"
"dosa,koshambri"
"bisi bele bath,dharwad pedha,dosa"
"dharwad pedha,idli,mysore pak"
"dharwad pedha,dosa,obbattu holige"
"bisi bele bath,idli,obbattu holige"
"dharwad pedha,idli,mysore pak"
"bisi bele bath,idli,sandige"
"dharwad pedha,idli,obbattu holige"
"bisi bele bath,dosa,obbattu holige"
"bisi bele bath,idli,mysore pak"
"idli,mysore pak"
"bisi bele bath,idli,obbattu holige"
"idli,mysore pak,sandige"
"bisi bele bath,dosa,mysore pak"
"bisi bele bath,dosa,koshambri"
"dharwad pedha,idli,mysore pak"
"idli,obbattu holige"
"idli,obbattu holige"
"idli,koshambri,mysore pak"
"dharwad pedha,dosa,mysore pak"
"dharwad pedha,idli,sandige"
"idli,mysore pak"
"dosa,obbattu holige"
"dharwad pedha,idli"
"dharwad pedha,dosa"
"idli,mysore pak,obbattu holige"
"bisi bele bath,dosa,sandige"
"dharwad pedha,dosa,obbattu holige"
"bisi bele bath,dosa,koshambri"
"dharwad pedha,dosa,obbattu holige"
"dosa,mysore pak,obbattu holige"
"dharwad pedha,dosa,obbattu holige"
"idli,mysore pak,obbattu holige"
"bisi bele bath,dosa,mysore pak"
"dharwad pedha,idli,mysore pak"
"bisi bele bath,idli"
"bisi bele bath,dharwad pedha,idli"
"bisi bele bath,idli"
"bisi bele bath,dosa,obbattu holige"
"dharwad pedha,idli"
"bisi bele bath,idli,sandige"
"idli,mysore pak,sandige"
"dharwad pedha,idli,sandige"
"dosa,mysore pak,obbattu holige"
"bisi bele bath,idli,mysore pak"
"dosa,mysore pak,obbattu holige"
"bisi bele bath,idli"
"dharwad pedha,idli,obbattu holige"
