transaction_items
"beef fry,papadum,puttu"
"kanji,kuzhi paniyaram,puttu"
"kanji,papadum,puttu"
"beef fry,puttu"
"beef fry,puttu"
"kanji,puttu"
"kanji,kuzhi paniyaram,puttu"
"avial,papadum,puttu"
"kanji,puttu,theeyal"
"avial,beef fry,puttu"
"avial,papadum,puttu"
"kanji,papadum,puttu"
"kuzhi paniyaram,papadum,puttu"
"avial,kanji,puttu"
"papadum,puttu"
"avial,beef fry,puttu"
"avial,kuzhi paniyaram,puttu"
"beef fry,papadum,puttu"
"kanji,papadum,puttu"
"beef fry,papadum,puttu"
"avial,beef fry,puttu"
"avial,puttu,theeyal"
"kanji,papadum,puttu"
"avial,beef fry,puttu"
"kanji,kuzhi paniyaram,puttu"
"avial,puttu,theeyal"
"avial,kuzhi paniyaram,puttu"
"avial,puttu,theeyal"
"beef fry,papadum,puttu"
"kuzhi paniyaram,puttu,theeyal"
"beef fry,puttu"
"beef fry,paravannam,puttu"
"beef fry,kanji,puttu"
"papadum,paravannam,puttu"
"puttu,theeyal"
"kuzhi paniyaram,puttu"
"avial,puttu"
"kanji,kuzhi paniyaram,puttu"
"kuzhi paniyaram,papadum,puttu"
"beef fry,puttu"
"beef fry,papadum,puttu"
"beef fry,kanji,puttu"
"beef fry,kuzhi paniyaram,puttu"
"beef fry,kuzhi paniyaram,puttu"
"beef fry,papadum,puttu"
"avial,beef fry,puttu"
"kanji,kuzhi paniyaram,puttu"
"kanji,kuzhi paniyaram,puttu"
"kanji,puttu"
"beef fry,kanji,puttu"
"avial,papadum,puttu"
"avial,beef fry,puttu"
"kanji,kuzhi paniyaram,puttu"
"kuzhi paniyaram,puttu,theeyal"
"puttu,theeyal"
"avial,beef fry,puttu"
"avial,papadum,puttu"
"kanji,papadum,puttu"
"papadum,puttu"
"kuzhi paniyaram,papadum,puttu"
"kuzhi paniyaram,paravannam,puttu"
"avial,kuzhi paniyaram,puttu"
"kuzhi paniyaram,papadum,puttu"
"beef fry,paravannam,puttu"
"kanji,puttu,theeyal"
"avial,kanji,puttu"
"avial,puttu"
"avial,beef fry,puttu"
"avial,papadum,puttu"
"kanji,puttu"
"beef fry,papadum,puttu"
"kanji,kuzhi paniyaram,puttu"
"beef fry,kuzhi paniyaram,puttu"
"kanji,kuzhi paniyaram,puttu"
"avial,paravannam,puttu"
"kanji,puttu"
"kuzhi paniyaram,puttu"
"kuzhi paniyaram,paravannam,puttu"
"avial,papadum,puttu"
"beef fry,kuzhi paniyaram,puttu"
"beef fry,kuzhi paniyaram,puttu"
"beef fry,kuzhi paniyaram,puttu"
"beef fry,kanji,puttu"
"beef fry,kanji,puttu"
"kanji,kuzhi paniyaram,puttu"
"beef fry,papadum,puttu"
"paravannam,puttu,theeyal"
"avial,beef fry,puttu"
"beef fry,kanji,puttu"
"avial,kuzhi paniyaram,puttu"
"avial,papadum,puttu"
"kanji,puttu,theeyal"
"puttu,theeyal"
"avial,kuzhi paniyaram,puttu"
"avial,kanji,puttu"
"avial,puttu,theeyal"
"avial,kuzhi paniyaram,puttu"
"avial,kanji,puttu"
"avial,kuzhi paniyaram,puttu"
"kanji,kuzhi paniyaram,puttu"
"avial,paravannam,puttu"
"kuzhi paniyaram,papadum,puttu"
"kanji,papadum,puttu"
"kanji,kuzhi paniyaram,puttu"
"kanji,papadum,puttu"
"avial,papadum,puttu"
"avial,papadum,puttu"
"kuzhi paniyaram,puttu,theeyal"
"avial,kuzhi paniyaram,puttu"
"kuzhi paniyaram,papadum,puttu"
"beef fry,kuzhi paniyaram,puttu"
"avial,kanji,puttu"
"avial,papadum,puttu"
"kuzhi paniyaram,papadum,puttu"
"beef fry,kuzhi paniyaram,puttu"
"avial,beef fry,puttu"
"avial,kanji,puttu"
"avial,puttu,theeyal"
"kuzhi paniyaram,puttu"
"avial,papadum,puttu"
"papadum,puttu"
"kanji,papadum,puttu"
"beef fry,kanji,puttu"
"paravannam,puttu,theeyal"
"kuzhi paniyaram,papadum,puttu"
"avial,kanji,puttu"
"avial,kuzhi paniyaram,puttu"
"papadum,puttu"
"avial,kanji,puttu"
"kanji,puttu"
"kanji,papadum,puttu"
"avial,papadum,puttu"
"beef fry,papadum,puttu"
"kanji,kuzhi paniyaram,puttu"
"kanji,puttu"
"kuzhi paniyaram,puttu,theeyal"
"avial,puttu"
"avial,puttu,theeyal"
"avial,kanji,puttu"
"beef fry,puttu"
"avial,beef fry,puttu"
"avial,puttu,theeyal"
"avial,kanji,puttu"
"avial,kanji,puttu"
"kuzhi paniyaram,papadum,puttu"
"avial,papadum,puttu"
"avial,beef fry,puttu"
"avial,puttu,theeyal"
"avial,kuzhi paniyaram,puttu"
"kanji,puttu,theeyal"
"beef fry,puttu"
"avial,kuzhi paniyaram,puttu"
"kuzhi paniyaram,puttu"
"avial,puttu,theeyal"
"beef fry,kanji,puttu"
"avial,kanji,puttu"
"kanji,papadum,puttu"
"avial,kanji,puttu"
"kanji,kuzhi paniyaram,puttu"
"papadum,puttu"
"kuzhi paniyaram,puttu"
"kanji,papadum,puttu"
"beef fry,papadum,puttu"
"beef fry,kuzhi paniyaram,puttu"
"kuzhi paniyaram,puttu"
"avial,papadum,puttu"
"kuzhi paniyaram,papadum,puttu"
"beef fry,kanji,puttu"
"kuzhi paniyaram,papadum,puttu"
"kanji,kuzhi paniyaram,puttu"
"avial,kuzhi paniyaram,puttu"
"papadum,paravannam,puttu"
"kanji,kuzhi paniyaram,puttu"
"kanji,papadum,puttu"
"kanji,kuzhi paniyaram,puttu"
"avial,paravannam,puttu"
"avial,puttu"
"kanji,puttu,theeyal"
"papadum,paravannam,puttu"
"avial,kanji,puttu"
"beef fry,kuzhi paniyaram,puttu"
"avial,papadum,puttu"
"avial,paravannam,puttu"
"avial,papadum,puttu"
"papadum,puttu,theeyal"
"avial,paravannam,puttu"
"avial,puttu"
"beef fry,puttu"
"beef fry,kuzhi paniyaram,puttu"
"beef fry,puttu"
"avial,papadum,puttu"
"kanji,puttu"
"avial,kanji,puttu"
"paravannam,puttu"
"kanji,paravannam,puttu"
"beef fry,kanji,puttu"
"avial,kuzhi paniyaram,puttu"
"beef fry,kanji,puttu"
"papadum,puttu,theeyal"
"avial,kanji,puttu"
"kuzhi paniyaram,papadum,puttu"
"beef fry,puttu"
"kanji,kuzhi paniyaram,puttu"
"beef fry,papadum,puttu"
"kuzhi paniyaram,papadum,puttu"
"paravannam,puttu"
"kuzhi paniyaram,puttu,theeyal"
"kanji,puttu"
"kuzhi paniyaram,paravannam,puttu"
"beef fry,papadum,puttu"
"papadum,puttu,theeyal"
"kuzhi paniyaram,papadum,puttu"
"kanji,papadum,puttu"
"beef fry,kanji,puttu"
