transaction_items
"kuzhi paniyaram,puttu"
"beef fry,papadum,puttu"
"beef fry,puttu,theeyal"
"kuzhi paniyaram,puttu,theeyal"
"avial,papadum,puttu"
"beef fry,kuzhi paniyaram,puttu"
"avial,puttu,theeyal"
"beef fry,puttu"
"avial,puttu,theeyal"
"avial,kuzhi paniyaram,puttu"
"beef fry,papadum,puttu"
"kuzhi paniyaram,puttu"
"avial,beef fry,puttu"
"beef fry,kanji,puttu"
"beef fry,puttu"
"kuzhi paniyaram,puttu,theeyal"
"kuzhi paniyaram,puttu,theeyal"
"beef fry,puttu"
"avial,papadum,puttu"
"kanji,puttu,theeyal"
"beef fry,kuzhi paniyaram,puttu"
"avial,beef fry,puttu"
"kuzhi paniyaram,puttu,theeyal"
"beef fry,kuzhi paniyaram,puttu"
"kanji,puttu,theeyal"
"kuzhi paniyaram,puttu,theeyal"
"kanji,kuzhi paniyaram,puttu"
"avial,papadum,puttu"
"kuzhi paniyaram,puttu,theeyal"
"avial,kuzhi paniyaram,puttu"
"kanji,puttu"
"avial,kuzhi paniyaram,puttu"
"puttu,theeyal"
"kanji,puttu,theeyal"
"beef fry,kanji,puttu"
"avial,puttu"
"beef fry,kuzhi paniyaram,puttu"
"kuzhi paniyaram,puttu,theeyal"
"beef fry,puttu,theeyal"
"kuzhi paniyaram,puttu"
"avial,beef fry,puttu"
"kanji,puttu,theeyal"
"beef fry,papadum,puttu"
"beef fry,kuzhi paniyaram,puttu"
"beef fry,puttu,theeyal"
"avial,kuzhi paniyaram,puttu"
"beef fry,papadum,puttu"
"avial,kuzhi paniyaram,puttu"
"beef fry,puttu,theeyal"
"paravannam,puttu"
"beef fry,paravannam,puttu"
"avial,puttu,theeyal"
"puttu,theeyal"
"avial,paravannam,puttu"
"beef fry,kuzhi paniyaram,puttu"
"kuzhi paniyaram,puttu"
"kuzhi paniyaram,paravannam,puttu"
"avial,beef fry,puttu"
"avial,beef fry,puttu"
"kuzhi paniyaram,puttu,theeyal"
"papadum,paravannam,puttu"
"beef fry,papadum,puttu"
"papadum,puttu,theeyal"
"beef fry,kuzhi paniyaram,puttu"
"kanji,puttu,theeyal"
"kuzhi paniyaram,paravannam,puttu"
"avial,kuzhi paniyaram,puttu"
"beef fry,kanji,puttu"
"papadum,paravannam,puttu"
"beef fry,kuzhi paniyaram,puttu"
"avial,kuzhi paniyaram,puttu"
"beef fry,puttu,theeyal"
"papadum,puttu"
"avial,puttu,theeyal"
"avial,beef fry,puttu"
"kanji,papadum,puttu"
"papadum,puttu"
"beef fry,kanji,puttu"
"beef fry,kuzhi paniyaram,puttu"
"avial,kuzhi paniyaram,puttu"
"kuzhi paniyaram,puttu"
"kuzhi paniyaram,papadum,puttu"
"puttu,theeyal"
"avial,paravannam,puttu"
"beef fry,puttu,theeyal"
"beef fry,kanji,puttu"
"kuzhi paniyaram,papadum,puttu"
"beef fry,paravannam,puttu"
"kuzhi paniyaram,puttu,theeyal"
"kanji,paravannam,puttu"
"paravannam,puttu,theeyal"
"beef fry,puttu"
"avial,kanji,puttu"
"kanji,puttu,theeyal"
"kuzhi paniyaram,puttu,theeyal"
"beef fry,papadum,puttu"
"avial,kuzhi paniyaram,puttu"
"kuzhi paniyaram,puttu"
"beef fry,kuzhi paniyaram,puttu"
"kuzhi paniyaram,puttu"
"papadum,puttu,theeyal"
"paravannam,puttu"
"kuzhi paniyaram,puttu,theeyal"
"beef fry,puttu,theeyal"
"beef fry,kuzhi paniyaram,puttu"
"avial,puttu"
"beef fry,puttu,theeyal"
"papadum,puttu,theeyal"
"kuzhi paniyaram,puttu"
"kuzhi paniyaram,puttu"
"avial,kuzhi paniyaram,puttu"
"kuzhi paniyaram,puttu,theeyal"
"beef fry,puttu,theeyal"
"avial,puttu,theeyal"
"avial,kuzhi paniyaram,puttu"
"avial,kuzhi paniyaram,puttu"
"puttu,theeyal"
"avial,puttu"
"kuzhi paniyaram,puttu"
"beef fry,kuzhi paniyaram,puttu"
"beef fry,kuzhi paniyaram,puttu"
"beef fry,kuzhi paniyaram,puttu"
"kuzhi paniyaram,puttu,theeyal"
"avial,papadum,puttu"
"avial,kuzhi paniyaram,puttu"
"avial,kanji,puttu"
"kuzhi paniyaram,puttu,theeyal"
"avial,puttu,theeyal"
"kanji,kuzhi paniyaram,puttu"
"avial,puttu"
"avial,kuzhi paniyaram,puttu"
"beef fry,puttu,theeyal"
"avial,kuzhi paniyaram,puttu"
"puttu,theeyal"
"avial,kuzhi paniyaram,puttu"
"beef fry,papadum,puttu"
"avial,beef fry,puttu"
"avial,kuzhi paniyaram,puttu"
"kuzhi paniyaram,puttu,theeyal"
"beef fry,kuzhi paniyaram,puttu"
"beef fry,kuzhi paniyaram,puttu"
"kuzhi paniyaram,puttu"
"avial,kuzhi paniyaram,puttu"
"avial,beef fry,puttu"
"beef fry,paravannam,puttu"
"paravannam,puttu,theeyal"
"avial,kuzhi paniyaram,puttu"
"avial,puttu,theeyal"
"avial,beef fry,puttu"
"avial,kuzhi paniyaram,puttu"
"beef fry,puttu"
"beef fry,puttu,theeyal"
"avial,paravannam,puttu"
"kuzhi paniyaram,puttu,theeyal"
"avial,beef fry,puttu"
"avial,puttu,theeyal"
"avial,kuzhi paniyaram,puttu"
"avial,puttu"
"avial,puttu"
"beef fry,kuzhi paniyaram,puttu"
"avial,puttu,theeyal"
"beef fry,kanji,puttu"
"avial,kuzhi paniyaram,puttu"
"beef fry,paravannam,puttu"
"puttu,theeyal"
"kuzhi paniyaram,paravannam,puttu"
"kanji,kuzhi paniyaram,puttu"
"avial,kanji,puttu"
"kuzhi paniyaram,puttu,theeyal"
"kanji,kuzhi paniyaram,puttu"
"avial,puttu"
"kuzhi paniyaram,puttu"
"kuzhi paniyaram,puttu,theeyal"
"beef fry,puttu"
"avial,puttu,theeyal"
"beef fry,puttu,theeyal"
"avial,papadum,puttu"
"avial,beef fry,puttu"
"papadum,puttu,theeyal"
"avial,puttu,theeyal"
"beef fry,papadum,puttu"
"beef fry,puttu,theeyal"
"beef fry,kuzhi paniyaram,puttu"
"beef fry,kuzhi paniyaram,puttu"
"beef fry,puttu"
"kanji,puttu,theeyal"
"avial,beef fry,puttu"
"puttu,theeyal"
"beef fry,kuzhi paniyaram,puttu"
"avial,kuzhi paniyaram,puttu"
"avial,puttu,theeyal"
"kuzhi paniyaram,paravannam,puttu"
"beef fry,puttu,theeyal"
"paravannam,puttu,theeyal"
"beef fry,kuzhi paniyaram,puttu"
"kuzhi paniyaram,puttu,theeyal"
"beef fry,papadum,puttu"
"beef fry,kuzhi paniyaram,puttu"
"avial,puttu,theeyal"
"paravannam,puttu"
"paravannam,puttu,theeyal"
"avial,beef fry,puttu"
"beef fry,puttu"
"avial,puttu,theeyal"
"avial,puttu,theeyal"
"kuzhi paniyaram,puttu"
