transaction_items
"dhondas,poha"
"anarsa,kombdi vade,poha"
"bhakri,puri bhaji,sohan papdi"
"bhakri,dhondas,puri bhaji"
"bhakri,puri bhaji,surnoli"
"modak,puri bhaji"
"dhondas,poha,sohan papdi"
"bhakri,dhondas,puri bhaji"
"bhakri,puri bhaji,sheera"
"chapati,chikki,puri bhaji"
"dalithoy,puri bhaji,zunka"
"bhakri,modak,poha"
"dhondas,modak,puri bhaji"
"dhondas,poha"
"dhondas,modak,puri bhaji"
"chikki,dhondas,puri bhaji"
"chapati,puri bhaji,shankarpali"
"pav bhaji,puri bhaji,veg kolhapuri"
"bhakri,modak,puri bhaji"
"bhakri,dhondas,puri bhaji"
"puri bhaji,sabudana khichadi,sukhdi"
"koshimbir,poha,sutar feni"
"bhakri,poha"
"dalithoy,modak,puri bhaji"
"bhakri,dhondas,puri bhaji"
"modak,puri bhaji"
"poha,sabudana khichadi,shankarpali"
"dhondas,poha,zunka"
"dhondas,poha,shrikhand"
"dahi vada,modak,puri bhaji"
"dhondas,modak,puri bhaji"
"koshimbir,puri bhaji,thalipeeth"
"bombil fry,poha,veg kolhapuri"
"dhondas,modak,poha"
"bhakri,puri bhaji"
"bhakri,puri bhaji,sheera"
"bhakri,poha"
"anarsa,dhondas,puri bhaji"
"dhondas,puri bhaji,sabudana khichadi"
"bhakri,dhondas,poha"
"bhakri,mahim halwa,poha"
"anarsa,dhondas,puri bhaji"
"bhakri,modak,puri bhaji"
"koshimbir,puri bhaji,sheera"
"chikki,modak,poha"
"bhakri,modak,poha"
"bhakri,dhondas,poha"
"dhondas,modak,puri bhaji"
"poha,sohan papdi,sutar feni"
"dhondas,puri bhaji"
"bhakri,poha,sohan papdi"
"bhakri,puri bhaji,shankarpali"
"modak,puri bhaji,surnoli"
"bhakri,modak,puri bhaji"
"coconut vadi,modak,poha"
"bhakri,puri bhaji,shrikhand"
"dhondas,puri bhaji,shankarpali"
"bhakri,dhondas,poha"
"bhakri,dhondas,puri bhaji"
"modak,poha"
"dhondas,kombdi vade,poha"
"modak,puri bhaji,thalipeeth"
"bhakri,modak,puri bhaji"
"chapati,coconut vadi,puri bhaji"
"dhondas,modak,poha"
"dhondas,modak,puri bhaji"
"dhondas,puri bhaji,zunka"
"chakali,dhondas,poha"
"chakali,modak,poha"
"dhondas,poha"
"bhakri,kolim jawla,puri bhaji"
"dhondas,puri bhaji"
"amti,poha,shrikhand"
"puri bhaji,sheera,veg kolhapuri"
"dhondas,poha"
"anarsa,chakali,puri bhaji"
"dhondas,modak,puri bhaji"
"chikki,modak,puri bhaji"
"chikki,modak,puri bhaji"
"dhondas,poha"
"dhondas,puri bhaji"
"bhakri,puri bhaji,surnoli"
"dhondas,koshimbir,puri bhaji"
"modak,poha"
"chapati,puri bhaji,shrikhand"
"bombil fry,dhondas,puri bhaji"
"mahim halwa,puri bhaji,sohan papdi"
"bhakri,puri bhaji,sutar feni"
"dhondas,puri bhaji,shankarpali"
"dhondas,modak,puri bhaji"
"dhondas,puri bhaji"
"anarsa,modak,puri bhaji"
"bhakri,poha"
"dhondas,poha"
"bhakri,kombdi vade,puri bhaji"
"bhakri,modak,puri bhaji"
"dhondas,modak,poha"
"dhondas,modak,puri bhaji"
"dhondas,poha,sheera"
"kolim jawla,poha,sohan papdi"
"dhondas,puri bhaji"
"modak,puri bhaji,zunka"
"bombil fry,modak,puri bhaji"
"mahim halwa,modak,poha"
"dalithoy,dhondas,puri bhaji"
"dhondas,mahim halwa,poha"
"dhondas,puri bhaji,shankarpali"
"bhakri,puri bhaji"
"bhakri,dhondas,poha"
"bhakri,poha,sukhdi"
"bombil fry,modak,puri bhaji"
"chakali,puri bhaji"
"bhakri,puri bhaji"
"bhakri,poha,shankarpali"
"bhakri,chakali,poha"
"dhondas,modak,poha"
"amti,puri bhaji,zunka"
"bhakri,modak,puri bhaji"
"bhakri,dhondas,puri bhaji"
"anarsa,dhondas,puri bhaji"
"bhakri,poha,surnoli"
"kombdi vade,puri bhaji,surnoli"
"bhakri,chapati,poha"
"anarsa,poha,sukhdi"
"bhakri,dalithoy,puri bhaji"
"bhakri,dhondas,puri bhaji"
"bhakri,dhondas,poha"
"bhakri,modak,poha"
"chapati,modak,poha"
"bhakri,pav bhaji,puri bhaji"
"coconut vadi,modak,poha"
"modak,poha"
"bhakri,chapati,puri bhaji"
"dhondas,modak,poha"
"dhondas,poha,shankarpali"
"dalithoy,dhondas,puri bhaji"
"chikki,modak,puri bhaji"
"bhakri,dhondas,puri bhaji"
"bhakri,dhondas,poha"
"dhondas,modak,puri bhaji"
"bhakri,modak,puri bhaji"
"dhondas,puri bhaji,veg kolhapuri"
"bhakri,modak,puri bhaji"
"bhakri,dhondas,puri bhaji"
"anarsa,dhondas,puri bhaji"
"dhondas,modak,poha"
"anarsa,dhondas,poha"
"amti,dhondas,poha"
"bhakri,chapati,puri bhaji"
"bhakri,puri bhaji,sutar feni"
"bhakri,poha"
"bhakri,dhondas,poha"
"bhakri,modak,poha"
"bhakri,kombdi vade,poha"
"coconut vadi,poha,surnoli"
"bhakri,poha"
"bhakri,modak,poha"
"amti,puri bhaji,sutar feni"
"dhondas,poha,shankarpali"
"anarsa,poha,zunka"
"bhakri,dhondas,poha"
"dhondas,puri bhaji,sutar feni"
"bhakri,coconut vadi,puri bhaji"
"kolim jawla,puri bhaji,sabudana khichadi"
"puri bhaji,shrikhand,zunka"
"bhakri,kolim jawla,puri bhaji"
"bhakri,dhondas,puri bhaji"
"bhakri,poha,surnoli"
"dhondas,kombdi vade,poha"
"bhakri,modak,puri bhaji"
"bhakri,modak,puri bhaji"
"modak,poha,sohan papdi"
"chapati,dhondas,puri bhaji"
"chakali,modak,puri bhaji"
"dhondas,puri bhaji"
"pav bhaji,puri bhaji,veg kolhapuri"
"bhakri,modak,puri bhaji"
"bhakri,poha,surnoli"
"dhondas,puri bhaji"
"dhondas,puri bhaji"
"bhakri,poha,sutar feni"
"dhondas,puri bhaji"
"bhakri,chapati,puri bhaji"
"bhakri,modak,poha"
"bhakri,dhondas,puri bhaji"
"modak,puri bhaji"
"puri bhaji,shankarpali,surnoli"
"dhondas,puri bhaji,sutar feni"
"anarsa,dhondas,poha"
"bhakri,modak,puri bhaji"
"bhakri,modak,puri bhaji"
"dhondas,poha"
"chikki,puri bhaji,shrikhand"
"dhondas,modak,puri bhaji"
"modak,puri bhaji"
"chapati,puri bhaji,sabudana khichadi"
"dhondas,puri bhaji,shankarpali"
"bhakri,dhondas,poha"
"bhakri,dhondas,puri bhaji"
"modak,poha,sabudana khichadi"
"koshimbir,poha,zunka"
"pav bhaji,poha,sohan papdi"
"bhakri,dhondas,puri bhaji"
"dhondas,puri bhaji,zunka"
"chapati,kolim jawla,puri bhaji"
"bombil fry,modak,poha"
"poha,sabudana khichadi,zunka"
"bhakri,modak,puri bhaji"
"bhakri,dhondas,puri bhaji"
"modak,poha,surnoli"
"chakali,puri bhaji,thalipeeth"
"modak,poha,sukhdi"
"bhakri,dhondas,puri bhaji"
"modak,poha"
"dhondas,poha"
"bhakri,poha"
"bhakri,modak,puri bhaji"
"bhakri,dhondas,puri bhaji"
"bhakri,puri bhaji"
"bhakri,modak,puri bhaji"
"bhakri,puri bhaji"
"chapati,dhondas,poha"
"chapati,poha,sohan papdi"
"dhondas,poha"
"dahi vada,dhondas,poha"
"dhondas,pav bhaji,poha"
"bhakri,modak,puri bhaji"
"chakali,modak,puri bhaji"
"modak,puri bhaji,surnoli"
"bhakri,dhondas,puri bhaji"
"chikki,dhondas,poha"
"bhakri,modak,poha"
"chikki,poha,sohan papdi"
"modak,puri bhaji,veg kolhapuri"
"dalithoy,dhondas,poha"
"dhondas,puri bhaji,surnoli"
"bhakri,modak,poha"
"bhakri,dhondas,puri bhaji"
"dhondas,modak,puri bhaji"
"bhakri,modak,puri bhaji"
"coconut vadi,modak,puri bhaji"
"mahim halwa,modak,puri bhaji"
"bhakri,dhondas,puri bhaji"
"bhakri,modak,puri bhaji"
"dhondas,modak,puri bhaji"
"kombdi vade,modak,puri bhaji"
"modak,pav bhaji,puri bhaji"
"dhondas,koshimbir,poha"
"chakali,dalithoy,poha"
"bhakri,coconut vadi,puri bhaji"
"modak,poha,zunka"
"bhakri,puri bhaji"
"mahim halwa,modak,poha"
"bhakri,modak,puri bhaji"
"amti,poha,shrikhand"
