transaction_items
"puri bhaji,sukhdi,surnoli"
"chapati,kombdi vade,puri bhaji"
"dalithoy,kombdi vade,puri bhaji"
"chapati,puri bhaji,sheera"
"kombdi vade,puri bhaji,sukhdi"
"kolim jawla,kombdi vade,puri bhaji"
"dahi vada,poha,surnoli"
"kombdi vade,puri bhaji,surnoli"
"dahi vada,dalithoy,poha"
"chapati,koshimbir,poha"
"mahim halwa,pav bhaji,puri bhaji"
"chikki,puri bhaji,sukhdi"
"chapati,chikki,poha"
"dhondas,poha,thalipeeth"
"puri bhaji,shankarpali,sheera"
"puri bhaji,surnoli,sutar feni"
"kombdi vade,puri bhaji,sukhdi"
"chapati,dalithoy,puri bhaji"
"chakali,kombdi vade,puri bhaji"
"puri bhaji,surnoli"
"modak,poha,sheera"
"chakali,poha,veg kolhapuri"
"chapati,poha"
"chikki,dahi vada,poha"
"dahi vada,kombdi vade,puri bhaji"
"anarsa,chapati,poha"
"chapati,poha,sheera"
"chapati,kombdi vade,poha"
"bombil fry,kombdi vade,puri bhaji"
"kombdi vade,puri bhaji,sukhdi"
"chapati,poha,sukhdi"
"puri bhaji,sukhdi,surnoli"
"kombdi vade,puri bhaji,sheera"
"chapati,poha,surnoli"
"puri bhaji,sukhdi,veg kolhapuri"
"poha,surnoli"
"chapati,poha,veg kolhapuri"
"kombdi vade,poha,sukhdi"
"amti,koshimbir,poha"
"puri bhaji,sheera"
"dalithoy,puri bhaji,shankarpali"
"amti,poha,surnoli"
"poha,sukhdi,surnoli"
"bhakri,kombdi vade,poha"
"puri bhaji,sheera"
"kombdi vade,poha,surnoli"
"anarsa,puri bhaji,sheera"
"modak,puri bhaji,sukhdi"
"bhakri,puri bhaji,surnoli"
"coconut vadi,puri bhaji,surnoli"
"kombdi vade,puri bhaji,sukhdi"
"kombdi vade,puri bhaji,sukhdi"
"puri bhaji,sheera,sukhdi"
"anarsa,puri bhaji,sukhdi"
"dalithoy,poha,sheera"
"kombdi vade,poha,sukhdi"
"puri bhaji,sheera,sukhdi"
"koshimbir,poha,veg kolhapuri"
"chapati,puri bhaji,surnoli"
"chapati,kombdi vade,puri bhaji"
"chapati,kombdi vade,puri bhaji"
"bhakri,modak,puri bhaji"
"poha,zunka"
"kombdi vade,poha,sukhdi"
"poha,sukhdi"
"chapati,puri bhaji,zunka"
"chapati,kolim jawla,puri bhaji"
"poha,surnoli"
"kombdi vade,puri bhaji,sukhdi"
"chapati,kombdi vade,puri bhaji"
"chapati,poha"
"puri bhaji,sukhdi,surnoli"
"puri bhaji,sohan papdi,sukhdi"
"chapati,puri bhaji,sheera"
"kombdi vade,puri bhaji,surnoli"
"chapati,puri bhaji,surnoli"
"puri bhaji,shankarpali,sukhdi"
"chapati,kombdi vade,poha"
"kombdi vade,poha,surnoli"
"koshimbir,poha,sheera"
"kombdi vade,puri bhaji,thalipeeth"
"kombdi vade,poha,veg kolhapuri"
