transaction_items
"pani puri,papad,payasam"
"masala dosa,pachadi,samosa"
"kaju katli,pani puri,uttapam"
"brown rice,papad,sambar"
"dosa,kheer,lauki ki subji"
"pani puri,papad,samosa"
"brown rice,papad,samosa"
"brown rice,sevai"
"sevai,upma,vada"
"brown rice,papad,payasam"
"pachadi,upma"
"dosa,kulfi falooda,samosa"
"masala dosa,pachadi,sevai"
"idli,laddu,papad"
"samosa,upma"
"kulfi falooda,samosa,upma"
"papad,upma,uttapam"
"laddu,samosa,upma"
"pachadi,red rice,sevai"
"brown rice,kulfi falooda,papad"
"dosa,sevai"
"laddu,masala dosa,payasam"
"dosa,pachadi,papad"
"pani puri,papad,samosa"
"dosa,lauki ki subji,uttapam"
"kulfi falooda,lauki ki subji,upma"
"dosa,nankhatai,vada"
"idli,kheer,pachadi"
"brown rice,samosa,sevai"
"laddu,upma"
"samosa,upma"
"red rice,sevai,uttapam"
"brown rice,kulfi falooda,sambar"
"masala dosa,papad,samosa"
"idli,pachadi,samosa"
"dosa,kheer,sevai"
"khichdi,pachadi,upma"
"brown rice,khichdi,sevai"
"masala dosa,papad,sevai"
"nankhatai,papad,upma"
"papad,sevai,upma"
"laddu,pani puri,papad"
"dosa,pachadi,payasam"
"brown rice,kaju katli,kulfi falooda"
"pachadi,pani puri,samosa"
"brown rice,papad"
"kulfi falooda,pachadi,pani puri"
"pachadi,pani puri,uttapam"
"brown rice,lauki ki subji,sevai"
"pani puri,sevai"
"lauki ki subji,masala dosa,papad"
"brown rice,papad,sevai"
"idli,samosa,sevai"
"pachadi,pani puri,papad"
"dosa,pachadi,uttapam"
"dosa,pachadi,papad"
"masala dosa,papad,sevai"
"kaju katli,sevai,upma"
"khichdi,masala dosa,papad"
"pachadi,red rice,samosa"
"papad,upma"
"idli,papad,samosa"
"dosa,samosa,sevai"
"dosa,sevai"
"dosa,papad,sevai"
"dosa,payasam,vada"
"masala dosa,pachadi"
"brown rice,pachadi,sevai"
"brown rice,kheer,sevai"
"brown rice,kulfi falooda,papad"
"pachadi,red rice,samosa"
"payasam,sevai,upma"
"dosa,pachadi,papad"
"lauki ki subji,pani puri,sevai"
"pachadi,papad,red rice"
"pachadi,pani puri,payasam"
"idli,pachadi,samosa"
"idli,kaju katli,payasam"
"kaju katli,lauki ki subji,masala dosa"
