transaction_items
"misi roti,palak paneer,rongi"
"chole bhature,naan,rongi"
"lassi,makki di roti sarson da saag,rongi"
"misi roti,mushroom matar,rongi"
"aloo matar,dal makhani,rongi"
"dal tadka,rongi"
"chole bhature,naan,shahi paneer"
"aloo matar,chole bhature,paratha"
"aloo gobi,makki di roti sarson da saag,rongi"
"chole bhature,misi roti,shahi paneer"
"aloo shimla mirch,dal makhani,shahi paneer"
"chicken tikka,dal makhani,shahi paneer"
"aloo methi,dal makhani,shahi paneer"
"lassi,mushroom matar,paratha"
"chole bhature,paratha,shahi paneer"
"makki di roti sarson da saag,rongi,shahi paneer"
"aloo matar,paratha,rongi"
"dal makhani,lassi,shahi paneer"
"aloo gobi,chole bhature,paratha"
"chole bhature,dal makhani,shahi paneer"
"chicken tikka masala,paratha,rongi"
"chicken tikka,chole bhature,naan"
"aloo methi,makki di roti sarson da saag,shahi paneer"
"chole bhature,naan,shahi paneer"
"chole bhature,naan,shahi paneer"
"chole bhature,dal makhani,shahi paneer"
"dal tadka,shahi paneer,tandoori chicken"
"makki di roti sarson da saag,pindi chana,shahi paneer"
"chole bhature,misi roti,rongi"
"chole bhature,dal makhani,karela bharta"
"dal makhani,mushroom do pyaza,shahi paneer"
"chole bhature,dal makhani,rongi"
"lassi,makki di roti sarson da saag,shahi paneer"
"aloo methi,chicken tikka,dal tadka"
"chana masala,makki di roti sarson da saag,rongi"
"chole bhature,misi roti,rongi"
"misi roti,rongi,shahi paneer"
"naan,rongi,shahi paneer"
"paratha,rongi"
"makki di roti sarson da saag,mushroom do pyaza,shahi paneer"
"dal tadka,palak paneer,shahi paneer"
"naan,rongi"
"paratha,rongi,tandoori fish tikka"
"chole bhature,misi roti,shahi paneer"
"misi roti,shahi paneer,vegetable jalfrezi"
"bhatura,chana masala,makki di roti sarson da saag"
"aloo matar,makki di roti sarson da saag,mushroom do pyaza"
"misi roti,rongi,shahi paneer"
"aloo methi,chole bhature,makki di roti sarson da saag"
"aloo shimla mirch,makki di roti sarson da saag,paneer butter masala"
"chana masala,gajar ka halwa,naan"
"aloo matar,kadai paneer,paratha"
"chole bhature,paratha,shahi paneer"
"chole bhature,paratha,rongi"
"naan,rongi"
"dal tadka,shahi paneer"
"chole bhature,dal tadka,rongi"
"chole bhature,makki di roti sarson da saag,rongi"
"bhatura,chole bhature,dal tadka"
"aloo matar,aloo methi,dal tadka"
"chole bhature,dal tadka,shahi paneer"
"aloo shimla mirch,bhindi masala,paratha"
"chicken tikka masala,kadai paneer,paratha"
"dal tadka,lassi,shahi paneer"
"chole bhature,misi roti,shahi paneer"
"palak paneer,paratha,shahi paneer"
"chole bhature,misi roti,shahi paneer"
"chole bhature,dal tadka,shahi paneer"
"makki di roti sarson da saag,rongi"
"chole bhature,naan,shahi paneer"
"chole bhature,mushroom matar,naan"
"chole bhature,dal makhani,shahi paneer"
"chole bhature,misi roti,palak paneer"
"bhatura,naan,shahi paneer"
"dal tadka,rongi"
"chicken tikka,dal tadka,tandoori fish tikka"
"aloo gobi,chole bhature,naan"
"makki di roti sarson da saag,rongi,shahi paneer"
"chole bhature,dal tadka,shahi paneer"
"aloo matar,chole bhature,dal tadka"
"aloo gobi,paratha,rongi"
"paratha,shahi paneer"
"dal tadka,shahi paneer"
"chole bhature,misi roti,rongi"
"dal tadka,rongi"
"chole bhature,naan,shahi paneer"
"paratha,rongi,shahi paneer"
"chole bhature,dal tadka,lassi"
"chole bhature,karela bharta,naan"
"palak paneer,paratha,pindi chana"
"aloo matar,dal tadka,shahi paneer"
"bhindi masala,misi roti,shahi paneer"
"chole bhature,paratha,rongi"
"aloo methi,chole bhature,misi roti"
"chole bhature,paratha"
"chole bhature,makki di roti sarson da saag,rongi"
"chole bhature,makki di roti sarson da saag,rongi"
"chole bhature,paratha,shahi paneer"
"chole bhature,dal makhani,shahi paneer"
"aloo matar,makki di roti sarson da saag,pindi chana"
"karela bharta,makki di roti sarson da saag,paneer butter masala"
"aloo methi,paratha"
"chole bhature,makki di roti sarson da saag,rongi"
"chole bhature,dal makhani,rongi"
"paratha,rongi,shahi paneer"
"chana masala,chole bhature,naan"
"naan,rongi"
"chole bhature,dal tadka,kadai paneer"
"paratha,shahi paneer"
"aloo shimla mirch,paratha,tandoori fish tikka"
"paratha,shahi paneer"
"chicken tikka masala,naan,vegetable jalfrezi"
"chole bhature,misi roti,shahi paneer"
"naan,palak paneer,tandoori chicken"
"makki di roti sarson da saag,shahi paneer,tandoori chicken"
"chole bhature,paratha,rongi"
"aloo matar,paratha,rongi"
"dal tadka,rongi,shahi paneer"
"chole bhature,naan,rongi"
"chole bhature,dal makhani,pindi chana"
"chana masala,makki di roti sarson da saag,rongi"
"chole bhature,paratha,rongi"
"chole bhature,misi roti"
"chole bhature,dal makhani,tandoori fish tikka"
"makki di roti sarson da saag,rongi,shahi paneer"
"aloo gobi,makki di roti sarson da saag,shahi paneer"
"aloo gobi,naan,shahi paneer"
"chicken tikka,dal tadka,shahi paneer"
"aloo shimla mirch,chicken tikka,dal tadka"
"naan,paneer tikka masala,rongi"
"chole bhature,makki di roti sarson da saag,shahi paneer"
"chole bhature,paratha,shahi paneer"
"misi roti,rongi,shahi paneer"
"chole bhature,dal tadka,tandoori fish tikka"
"chole bhature,makki di roti sarson da saag"
"naan,paneer tikka masala,rongi"
"dal makhani,shahi paneer"
"chole bhature,makki di roti sarson da saag,rongi"
"chole bhature,naan,shahi paneer"
"makki di roti sarson da saag,rongi"
"chole bhature,misi roti,rongi"
"chole bhature,paratha,rongi"
"aloo matar,bhatura,misi roti"
"chole bhature,paratha,shahi paneer"
"aloo shimla mirch,makki di roti sarson da saag,mushroom do pyaza"
"dal tadka,pindi chana,rongi"
"misi roti,rongi,shahi paneer"
"chole bhature,naan,rongi"
"chole bhature,dal tadka,shahi paneer"
"chole bhature,dal tadka,shahi paneer"
"chicken tikka,naan,paneer tikka masala"
"aloo shimla mirch,chole bhature,makki di roti sarson da saag"
"dal makhani,palak paneer,rongi"
"misi roti,rongi,shahi paneer"
"chole bhature,dal makhani,vegetable jalfrezi"
"chole bhature,paratha,rongi"
"misi roti,palak paneer,rongi"
"chole bhature,naan,rongi"
"dal makhani,rongi"
"mushroom matar,paratha"
"makki di roti sarson da saag,shahi paneer,tandoori fish tikka"
"paratha,pindi chana,rongi"
"chole bhature,misi roti,vegetable jalfrezi"
"bhatura,dal tadka,rongi"
"paratha,shahi paneer,tandoori chicken"
"misi roti,rongi,shahi paneer"
"bhatura,chole bhature,dal tadka"
"chole bhature,makki di roti sarson da saag,mushroom do pyaza"
"dal makhani,gajar ka halwa,shahi paneer"
"chana masala,misi roti,rongi"
"mushroom do pyaza,naan,rongi"
"chole bhature,paratha,shahi paneer"
"aloo methi,chicken tikka masala,makki di roti sarson da saag"
"chole bhature,paneer tikka masala,paratha"
"chole bhature,makki di roti sarson da saag,rongi"
"chole bhature,paratha,rongi"
"chicken tikka,dal makhani,shahi paneer"
"paratha,pindi chana,shahi paneer"
"aloo methi,chole bhature,paratha"
