transaction_items
"kaara kozhambu,keerai sadam,paniyaram"
"idiappam,kaara kozhambu,puli sadam"
"keerai kootu,poriyal,unni appam"
"idiappam,keerai masiyal,thayir sadam"
"kootu,paniyaram,puli sadam"
"paniyaram,poriyal,thayir sadam"
"currivepillai sadam,idiappam,keerai kootu"
"keerai kootu,keerai poriyal,unni appam"
"idiappam,keerai poriyal,keerai sadam"
"currivepillai sadam,kaara kozhambu,keerai poriyal"
"keerai kootu,unni appam"
"idiappam,puli sadam"
"kaara kozhambu,puli sadam"
"keerai poriyal,unni appam"
"kootu,kuzhakkattai,unni appam"
"chicken varuval,kootu,puli sadam"
"kaara kozhambu,poriyal,unni appam"
"idiappam,keerai kootu,puli sadam"
"keerai sadam,kootu,poriyal"
"kaara kozhambu,kuzhambu,unni appam"
"keerai kootu,keerai poriyal,keerai sadam"
"kaara kozhambu,kos kootu,puli sadam"
"currivepillai sadam,keerai poriyal,paniyaram"
"kaara kozhambu,keerai poriyal,paruppu sadam"
"idiappam,paniyaram,puli sadam"
"keerai poriyal,paniyaram,puli sadam"
"keerai poriyal,keerai sadam,paniyaram"
"currivepillai sadam,keerai poriyal,poriyal"
"kaara kozhambu,keerai poriyal,puli sadam"
"keerai kootu,unni appam"
"idiappam,paniyaram,thayir sadam"
"currivepillai sadam,kaara kozhambu,keerai kootu"
"chicken varuval,paniyaram,unni appam"
"idiappam,pongal,unni appam"
"keerai poriyal,kuzhambu,unni appam"
"kaara kozhambu,keerai kootu,paruppu sadam"
"keerai poriyal,pongal,puli sadam"
"keerai poriyal,paniyaram,thayir sadam"
"currivepillai sadam,keerai poriyal,paniyaram"
"currivepillai sadam,kaara kozhambu,keerai poriyal"
"idiappam,kaara kozhambu,kothamali sadam"
"keerai sadam,paniyaram,poriyal"
"kaara kozhambu,keerai sadam,pongal"
"idiappam,unni appam"
"currivepillai sadam,idiappam,keerai kootu"
"keerai poriyal,pongal,unni appam"
"keerai kootu,keerai poriyal,thayir sadam"
"keerai kootu,poriyal,puli sadam"
"keerai kootu,kuzhakkattai,paruppu sadam"
"kuzhakkattai,poriyal,puli sadam"
"idiappam,keerai sadam,kuzhambu"
"kaara kozhambu,kuzhambu,puli sadam"
"keerai masiyal,paniyaram,unni appam"
"keerai masiyal,poriyal,thayir sadam"
"idiappam,thayir sadam"
"keerai kootu,keerai poriyal,puli sadam"
"keerai kootu,keerai poriyal,puli sadam"
"idiappam,keerai poriyal,unni appam"
"chicken varuval,keerai kootu,unni appam"
"kaara kozhambu,keerai poriyal,kothamali sadam"
"keerai kootu,kothamali sadam,paniyaram"
"idiappam,keerai sadam,paniyaram"
"keerai kootu,paniyaram,thayir sadam"
"currivepillai sadam,keerai masiyal,paniyaram"
"idiappam,poriyal,unni appam"
"chicken varuval,idiappam,unni appam"
"paruppu sadam,pongal,poriyal"
"kaara kozhambu,paniyaram,unni appam"
"kaara kozhambu,paniyaram,puli sadam"
"idiappam,keerai poriyal,thayir sadam"
"currivepillai sadam,kuzhakkattai,paniyaram"
"idiappam,keerai poriyal,unni appam"
"keerai poriyal,paniyaram,paruppu sadam"
"currivepillai sadam,kaara kozhambu,paniyaram"
"kaara kozhambu,keerai poriyal,unni appam"
"currivepillai sadam,kaara kozhambu,kos kootu"
"chicken varuval,keerai poriyal,kothamali sadam"
"idiappam,keerai poriyal,thayir sadam"
"keerai poriyal,paniyaram,unni appam"
"keerai kootu,keerai poriyal,thayir sadam"
"chicken varuval,currivepillai sadam"
"kaara kozhambu,keerai kootu,paruppu sadam"
"idiappam,unni appam"
"idiappam,keerai poriyal,thayir sadam"
"idiappam,keerai poriyal,paruppu sadam"
"keerai sadam,paniyaram,poriyal"
"keerai poriyal,kothamali sadam,paniyaram"
"kaara kozhambu,keerai poriyal,unni appam"
"keerai masiyal,puli sadam"
"keerai poriyal,paniyaram,puli sadam"
"kaara kozhambu,kothamali sadam,paniyaram"
"keerai poriyal,keerai sadam,paniyaram"
"idiappam,kaara kozhambu,thayir sadam"
"idiappam,paniyaram,thayir sadam"
"keerai kootu,keerai poriyal,paruppu sadam"
"keerai kootu,paniyaram,paruppu sadam"
"currivepillai sadam,keerai poriyal,paniyaram"
"currivepillai sadam,idiappam,keerai kootu"
"kaara kozhambu,keerai kootu,puli sadam"
"kaara kozhambu,keerai poriyal,paruppu sadam"
"keerai poriyal,kothamali sadam,paniyaram"
"kaara kozhambu,kothamali sadam,poriyal"
"keerai kootu,paniyaram,thayir sadam"
"idiappam,paruppu sadam"
"idiappam,kootu,puli sadam"
"idiappam,kaara kozhambu,kothamali sadam"
"kaara kozhambu,paruppu sadam,pongal"
"idiappam,puli sadam"
"currivepillai sadam,keerai kootu,paniyaram"
"currivepillai sadam,idiappam,keerai kootu"
"keerai kootu,keerai sadam"
"currivepillai sadam,kos kootu,pongal"
"idiappam,keerai masiyal,puli sadam"
"idiappam,unni appam"
"kaara kozhambu,paniyaram,unni appam"
"kuzhakkattai,poriyal,puli sadam"
"kootu,paruppu sadam"
"kaara kozhambu,paniyaram,unni appam"
"idiappam,keerai poriyal,keerai sadam"
"currivepillai sadam,idiappam,keerai poriyal"
"keerai poriyal,paniyaram,unni appam"
"kaara kozhambu,keerai kootu,kothamali sadam"
"currivepillai sadam,keerai poriyal,paniyaram"
"kaara kozhambu,keerai sadam,kos kootu"
"keerai poriyal,kootu,puli sadam"
"idiappam,kaara kozhambu,paruppu sadam"
"kuzhambu,paniyaram,thayir sadam"
"idiappam,keerai kootu,puli sadam"
"kaara kozhambu,kootu,thayir sadam"
"currivepillai sadam,kaara kozhambu"
"idiappam,kuzhambu,paruppu sadam"
"idiappam,kothamali sadam"
"paniyaram,puli sadam"
"kaara kozhambu,keerai kootu,thayir sadam"
"chicken varuval,kaara kozhambu,kothamali sadam"
"idiappam,kootu,thayir sadam"
"chicken varuval,paniyaram,puli sadam"
"keerai poriyal,kothamali sadam,paniyaram"
"keerai kootu,kothamali sadam,paniyaram"
"chicken varuval,currivepillai sadam,kaara kozhambu"
"currivepillai sadam,keerai kootu,kootu"
"kaara kozhambu,keerai poriyal,puli sadam"
"keerai poriyal,kothamali sadam,paniyaram"
"idiappam,keerai sadam,kootu"
"idiappam,kuzhakkattai,thayir sadam"
"kaara kozhambu,paniyaram,puli sadam"
"kaara kozhambu,keerai sadam,paniyaram"
"keerai kootu,keerai sadam,paniyaram"
"currivepillai sadam,idiappam,pongal"
"currivepillai sadam,kaara kozhambu,keerai kootu"
"chicken varuval,keerai poriyal,unni appam"
"kootu,pongal,unni appam"
"idiappam,poriyal,puli sadam"
"idiappam,keerai poriyal,keerai sadam"
"kaara kozhambu,thayir sadam"
"keerai kootu,keerai poriyal,thayir sadam"
"keerai masiyal,paniyaram,paruppu sadam"
"kaara kozhambu,keerai sadam,kuzhakkattai"
"chicken varuval,currivepillai sadam,keerai poriyal"
"keerai kootu,kootu,paruppu sadam"
"idiappam,keerai sadam,paniyaram"
"kaara kozhambu,thayir sadam"
"currivepillai sadam,paniyaram"
"keerai kootu,paruppu sadam"
"keerai poriyal,paniyaram,thayir sadam"
"kootu,kuzhakkattai,thayir sadam"
"idiappam,kaara kozhambu,thayir sadam"
"keerai poriyal,paniyaram,thayir sadam"
"currivepillai sadam,idiappam,kos kootu"
"currivepillai sadam,kaara kozhambu,keerai poriyal"
"kaara kozhambu,paniyaram,unni appam"
"idiappam,puli sadam"
"keerai kootu,kootu,unni appam"
"currivepillai sadam,keerai kootu,paniyaram"
"currivepillai sadam,keerai poriyal"
"kaara kozhambu,paniyaram,paruppu sadam"
"currivepillai sadam,idiappam,keerai poriyal"
"keerai kootu,keerai poriyal,unni appam"
"kaara kozhambu,keerai sadam,kuzhambu"
"keerai masiyal,paniyaram,paruppu sadam"
"keerai kootu,keerai masiyal,paruppu sadam"
"kaara kozhambu,kuzhakkattai,unni appam"
"keerai sadam,paniyaram,poriyal"
"kaara kozhambu,keerai kootu,keerai sadam"
"idiappam,keerai sadam"
"keerai kootu,paniyaram,unni appam"
"kaara kozhambu,keerai kootu,unni appam"
"kaara kozhambu,keerai poriyal,keerai sadam"
"idiappam,keerai poriyal,paruppu sadam"
"idiappam,thayir sadam"
"idiappam,keerai sadam,paniyaram"
"idiappam,keerai poriyal,unni appam"
"currivepillai sadam,kaara kozhambu,keerai kootu"
"keerai kootu,keerai poriyal,paruppu sadam"
"kaara kozhambu,paniyaram,thayir sadam"
"keerai masiyal,keerai poriyal,puli sadam"
"kaara kozhambu,unni appam"
"kaara kozhambu,puli sadam"
"kaara kozhambu,kuzhambu,paruppu sadam"
"idiappam,keerai kootu,puli sadam"
"idiappam,paniyaram,puli sadam"
"idiappam,kaara kozhambu,unni appam"
"keerai kootu,paniyaram,unni appam"
"keerai sadam,paniyaram"
"kaara kozhambu,keerai masiyal,unni appam"
"currivepillai sadam,idiappam,keerai poriyal"
"kaara kozhambu,kootu,unni appam"
"keerai poriyal,paniyaram,thayir sadam"
"keerai kootu,keerai sadam,kuzhakkattai"
"kaara kozhambu,keerai kootu,thayir sadam"
"idiappam,paniyaram,thayir sadam"
"kaara kozhambu,keerai kootu,keerai sadam"
"idiappam,kaara kozhambu,thayir sadam"
"keerai kootu,keerai poriyal,unni appam"
"keerai kootu,keerai masiyal,paruppu sadam"
"idiappam,keerai poriyal,puli sadam"
"idiappam,keerai poriyal,kothamali sadam"
"keerai kootu,kuzhakkattai,thayir sadam"
"idiappam,keerai kootu,unni appam"
"idiappam,kaara kozhambu,kothamali sadam"
"keerai kootu,kuzhambu,paruppu sadam"
"chicken varuval,keerai kootu,keerai sadam"
"kootu,paniyaram,unni appam"
"chicken varuval,keerai poriyal,kothamali sadam"
"chicken varuval,pongal,unni appam"
"chicken varuval,currivepillai sadam,kaara kozhambu"
"keerai kootu,keerai masiyal,thayir sadam"
"kaara kozhambu,keerai sadam,paniyaram"
"kaara kozhambu,paniyaram,thayir sadam"
"keerai poriyal,puli sadam"
"chicken varuval,kothamali sadam,paniyaram"
"kothamali sadam,paniyaram,pongal"
"kaara kozhambu,kothamali sadam,paniyaram"
"kaara kozhambu,keerai sadam,paniyaram"
"kothamali sadam,paniyaram"
"kaara kozhambu,keerai kootu,paruppu sadam"
"keerai kootu,paniyaram,paruppu sadam"
"idiappam,keerai poriyal,puli sadam"
"idiappam,keerai poriyal,puli sadam"
"idiappam,kaara kozhambu,kothamali sadam"
"currivepillai sadam,kaara kozhambu"
"chicken varuval,currivepillai sadam,kuzhakkattai"
"keerai kootu,paniyaram,paruppu sadam"
"kaara kozhambu,keerai kootu,thayir sadam"
