transaction_items
"kuzhakkattai,puli sadam"
"keerai masiyal,keerai sadam,kuzhakkattai"
"keerai poriyal,kuzhakkattai,puli sadam"
"keerai masiyal,keerai poriyal,paruppu sadam"
"keerai poriyal,kuzhakkattai,puli sadam"
"keerai masiyal,kuzhakkattai,puli sadam"
"keerai sadam,kuzhambu,pongal"
"currivepillai sadam,idiappam,keerai kootu"
"keerai masiyal,kothamali sadam"
"kuzhakkattai,thayir sadam"
"idiappam,kuzhakkattai,thayir sadam"
"keerai kootu,unni appam"
"keerai kootu,kuzhakkattai,thayir sadam"
"chicken varuval,keerai kootu,keerai sadam"
"keerai kootu,kos kootu,puli sadam"
"kothamali sadam,kuzhakkattai"
"keerai kootu,keerai sadam,kuzhakkattai"
"currivepillai sadam,keerai poriyal,pongal"
"keerai kootu,kuzhakkattai,unni appam"
"keerai masiyal,paniyaram,unni appam"
"currivepillai sadam,keerai kootu,kuzhakkattai"
"currivepillai sadam,keerai masiyal,kuzhakkattai"
"keerai kootu,paruppu sadam,pongal"
"keerai kootu,kuzhakkattai,thayir sadam"
"kuzhakkattai,paniyaram,unni appam"
"keerai kootu,keerai masiyal,unni appam"
"kothamali sadam,kuzhakkattai"
"keerai kootu,keerai masiyal,unni appam"
"keerai poriyal,kuzhakkattai,thayir sadam"
"currivepillai sadam,keerai masiyal"
"keerai masiyal,thayir sadam"
"keerai kootu,thayir sadam"
"currivepillai sadam,keerai kootu"
"kaara kozhambu,kothamali sadam,kuzhakkattai"
"keerai kootu,keerai sadam,poriyal"
"keerai masiyal,puli sadam"
"keerai kootu,keerai masiyal,paruppu sadam"
"currivepillai sadam,keerai masiyal,kuzhakkattai"
"keerai kootu,kuzhakkattai,puli sadam"
"kothamali sadam,kuzhakkattai,pongal"
"keerai masiyal,keerai poriyal,puli sadam"
"keerai masiyal,kos kootu,puli sadam"
"keerai kootu,keerai masiyal,paruppu sadam"
"keerai masiyal,unni appam"
"currivepillai sadam,keerai kootu,kuzhakkattai"
"keerai masiyal,kuzhakkattai,unni appam"
"kothamali sadam,kuzhakkattai,poriyal"
"currivepillai sadam,keerai masiyal,paniyaram"
"keerai kootu,kuzhakkattai,puli sadam"
"keerai masiyal,kothamali sadam,kuzhakkattai"
"idiappam,poriyal,unni appam"
"currivepillai sadam,keerai masiyal,poriyal"
"keerai kootu,kuzhakkattai,unni appam"
"currivepillai sadam,kootu,kuzhakkattai"
"keerai kootu,keerai sadam,kuzhakkattai"
"currivepillai sadam,keerai kootu,keerai masiyal"
"currivepillai sadam,kaara kozhambu,kuzhakkattai"
"kaara kozhambu,keerai kootu,paruppu sadam"
"idiappam,keerai sadam,kootu"
"keerai masiyal,keerai sadam,kuzhakkattai"
"keerai kootu,keerai sadam,kuzhakkattai"
"idiappam,kuzhakkattai,thayir sadam"
"keerai masiyal,kuzhakkattai,puli sadam"
"keerai masiyal,kuzhakkattai,paruppu sadam"
"keerai masiyal,unni appam"
"keerai masiyal,thayir sadam"
"kuzhakkattai,puli sadam"
"keerai masiyal,kothamali sadam,kuzhakkattai"
"keerai masiyal,kuzhakkattai,puli sadam"
"currivepillai sadam,keerai kootu,kuzhakkattai"
"kos kootu,kuzhakkattai,thayir sadam"
"keerai kootu,keerai masiyal,keerai sadam"
"keerai kootu,kothamali sadam,kuzhakkattai"
"keerai kootu,keerai sadam"
"keerai masiyal,kuzhambu,unni appam"
"currivepillai sadam,keerai kootu,kuzhakkattai"
"keerai masiyal,keerai sadam"
"kootu,kuzhakkattai,paruppu sadam"
"kootu,kuzhambu,paruppu sadam"
"currivepillai sadam,kuzhakkattai,pongal"
"keerai kootu,paruppu sadam"
"keerai kootu,kothamali sadam,pongal"
"idiappam,keerai poriyal,paruppu sadam"
"keerai masiyal,kothamali sadam"
"kos kootu,kuzhakkattai,paruppu sadam"
"kootu,kuzhakkattai,unni appam"
"keerai kootu,keerai masiyal,paruppu sadam"
"keerai masiyal,kuzhakkattai,unni appam"
"keerai kootu,keerai poriyal,unni appam"
"kaara kozhambu,kos kootu,kothamali sadam"
"currivepillai sadam,kuzhakkattai,pongal"
"keerai masiyal,kuzhakkattai,puli sadam"
"chicken varuval,keerai poriyal,keerai sadam"
"keerai poriyal,keerai sadam"
"kothamali sadam,paniyaram,pongal"
"chicken varuval,keerai kootu,thayir sadam"
"kaara kozhambu,keerai poriyal,kothamali sadam"
"currivepillai sadam,keerai kootu,keerai masiyal"
"chicken varuval,unni appam"
"keerai masiyal,puli sadam"
"keerai masiyal,keerai poriyal,puli sadam"
"idiappam,keerai kootu,kothamali sadam"
"keerai masiyal,keerai sadam,paniyaram"
"keerai masiyal,kuzhakkattai,puli sadam"
"keerai masiyal,kothamali sadam,kuzhakkattai"
"keerai masiyal,kuzhakkattai,paruppu sadam"
"currivepillai sadam,keerai kootu,kuzhakkattai"
