transaction_items
"kachori,lauki ke kofte,naan"
"naan,navrattan korma,petha"
"kofta,naan,sohan halwa"
"kofta,naan,sohan halwa"
"naan,navrattan korma,petha"
"lauki ke kofte,naan,petha"
"naan,panjeeri,petha"
"naan,navrattan korma,panjeeri"
"naan,panjeeri,petha"
"naan,navrattan korma,panjeeri"
"kofta,naan,panjeeri"
"jalebi,naan,sohan halwa"
"naan,panjeeri"
"kofta,naan,navrattan korma"
"kofta,lauki ke kofte,naan"
"jalebi,kachori,naan"
"kofta,naan,rabri"
"naan,navrattan korma,sohan halwa"
"lauki ke kofte,naan,sohan halwa"
"kofta,lauki ke kofte,naan"
"naan,navrattan korma,panjeeri"
"kofta,naan,sohan halwa"
"naan,panjeeri,rabri"
"naan,panjeeri"
"naan,navrattan korma,petha"
"kofta,naan,navrattan korma"
"kofta,lauki ke kofte,naan"
"kofta,naan,sohan halwa"
"jalebi,kofta,naan"
"kachori,naan,petha"
"kofta,naan,panjeeri"
"naan,petha,sohan halwa"
"naan,navrattan korma"
"kofta,naan,petha"
"kofta,naan,panjeeri"
"naan,navrattan korma,petha"
"naan,petha"
"naan,panjeeri"
"kofta,naan,sohan halwa"
"jalebi,naan,petha"
"kachori,naan,panjeeri"
"naan,sohan halwa"
"naan,rabri,sohan halwa"
"naan,navrattan korma"
"jalebi,kofta,naan"
"kachori,naan,petha"
"naan,petha"
"kofta,naan,sohan halwa"
"kachori,naan,petha"
"kofta,naan,sohan halwa"
"naan,petha"
"naan,navrattan korma,panjeeri"
"lauki ke kofte,naan,sohan halwa"
"naan,navrattan korma,sohan halwa"
"kachori,naan,panjeeri"
"naan,panjeeri,sohan halwa"
"naan,navrattan korma,panjeeri"
"naan,navrattan korma,sohan halwa"
"naan,petha"
"kachori,naan,rabri"
"naan,navrattan korma,panjeeri"
"naan,sohan halwa"
"naan,petha,sohan halwa"
"naan,panjeeri"
"naan,navrattan korma,rabri"
"naan,petha"
"naan,panjeeri"
"lauki ke kofte,naan,sohan halwa"
"naan,panjeeri,sohan halwa"
"kachori,naan,petha"
"kofta,naan,petha"
"lauki ke kofte,naan,panjeeri"
"naan,navrattan korma"
"naan,panjeeri"
"kofta,naan,petha"
"kofta,naan,petha"
"kachori,kofta,naan"
"lauki ke kofte,naan"
"naan,panjeeri"
"kofta,naan,rabri"
"kofta,naan,panjeeri"
"kofta,naan,petha"
"naan,rabri,sohan halwa"
"naan,navrattan korma"
"kofta,naan"
"kofta,naan,navrattan korma"
"jalebi,naan,petha"
"jalebi,naan,rabri"
"naan,navrattan korma,panjeeri"
"naan,panjeeri"
"kofta,naan,navrattan korma"
"kachori,naan,panjeeri"
"jalebi,naan,sohan halwa"
"naan,navrattan korma,panjeeri"
"kofta,naan,rabri"
"lauki ke kofte,naan,petha"
"naan,panjeeri,sohan halwa"
"naan,navrattan korma,sohan halwa"
"naan,navrattan korma"
"naan,panjeeri,petha"
"jalebi,naan,rabri"
"naan,navrattan korma,sohan halwa"
"kofta,naan,petha"
"kofta,naan,navrattan korma"
"kachori,naan,panjeeri"
"naan,petha"
"lauki ke kofte,naan,navrattan korma"
"kofta,naan,panjeeri"
"naan,navrattan korma,petha"
"kofta,naan,petha"
"kachori,naan,rabri"
"naan,navrattan korma,rabri"
"kofta,naan,sohan halwa"
"kofta,naan,navrattan korma"
"naan,petha,sohan halwa"
"naan,panjeeri,rabri"
"kofta,naan"
"naan,navrattan korma,petha"
"naan,panjeeri,petha"
"jalebi,naan,panjeeri"
"naan,navrattan korma,petha"
"kachori,naan,petha"
"naan,navrattan korma,sohan halwa"
"kofta,naan,petha"
"jalebi,naan,sohan halwa"
"kofta,naan,panjeeri"
"kofta,naan,panjeeri"
"naan,panjeeri,petha"
"lauki ke kofte,naan,sohan halwa"
"naan,petha"
"naan,navrattan korma,petha"
"lauki ke kofte,naan,sohan halwa"
"jalebi,naan,sohan halwa"
"kofta,naan,panjeeri"
"jalebi,kofta,naan"
"naan,petha,sohan halwa"
"naan,panjeeri"
"kofta,naan,panjeeri"
"jalebi,naan,sohan halwa"
"kofta,naan,panjeeri"
"kofta,lauki ke kofte,naan"
"naan,petha,sohan halwa"
"naan,panjeeri"
"naan,navrattan korma,petha"
"kofta,naan,petha"
"naan,navrattan korma,sohan halwa"
"kofta,naan,rabri"
"naan,panjeeri,sohan halwa"
"naan,panjeeri,sohan halwa"
"lauki ke kofte,naan,navrattan korma"
"naan,petha,sohan halwa"
"kofta,naan,petha"
"naan,panjeeri,petha"
"kachori,naan,navrattan korma"
"lauki ke kofte,naan,petha"
"naan,petha,rabri"
"kofta,naan,navrattan korma"
"kachori,naan,petha"
"kofta,naan,sohan halwa"
"naan,petha"
"naan,navrattan korma,petha"
"naan,panjeeri,sohan halwa"
"kachori,naan,sohan halwa"
"naan,navrattan korma,panjeeri"
"jalebi,naan,navrattan korma"
"lauki ke kofte,naan,navrattan korma"
"naan,panjeeri,sohan halwa"
"naan,navrattan korma,panjeeri"
"kofta,naan,panjeeri"
"naan,petha"
"naan,panjeeri"
"kofta,naan,panjeeri"
"kofta,naan,navrattan korma"
"naan,petha"
"naan,panjeeri,sohan halwa"
"jalebi,naan,sohan halwa"
"kachori,naan,navrattan korma"
"naan,navrattan korma,panjeeri"
"jalebi,naan,panjeeri"
"naan,navrattan korma"
"naan,panjeeri,petha"
"naan,panjeeri"
"naan,navrattan korma,petha"
"naan,panjeeri,sohan halwa"
"kofta,naan,petha"
"kachori,naan,navrattan korma"
"kachori,naan,panjeeri"
"naan,petha,sohan halwa"
"lauki ke kofte,naan,petha"
"kofta,naan,petha"
"jalebi,kofta,naan"
"naan,panjeeri,sohan halwa"
"naan,navrattan korma,petha"
"kofta,naan,sohan halwa"
"jalebi,kofta,naan"
"naan,panjeeri,petha"
"jalebi,naan,petha"
"kofta,naan,petha"
"kachori,kofta,naan"
"kofta,naan"
"jalebi,naan,sohan halwa"
"jalebi,naan,panjeeri"
"kofta,naan,panjeeri"
"lauki ke kofte,naan,sohan halwa"
"kofta,naan"
"naan,panjeeri,petha"
"kofta,naan,panjeeri"
"naan,petha"
"naan,panjeeri,sohan halwa"
"naan,panjeeri"
"naan,navrattan korma,petha"
"jalebi,naan,panjeeri"
"naan,petha,sohan halwa"
"naan,petha,sohan halwa"
"naan,sohan halwa"
"naan,sohan halwa"
"jalebi,lauki ke kofte,naan"
"naan,rabri,sohan halwa"
"jalebi,naan,sohan halwa"
"kofta,naan,petha"
"naan,panjeeri,petha"
"kofta,naan,petha"
"naan,navrattan korma,petha"
"jalebi,kofta,naan"
"naan,petha,sohan halwa"
"naan,petha,sohan halwa"
"naan,navrattan korma,panjeeri"
"naan,navrattan korma,sohan halwa"
"kofta,naan,sohan halwa"
"naan,navrattan korma,petha"
