transaction_items
"cheera doi,chingri malai curry,daal puri"
"daal puri,imarti,pantua"
"adhirasam,chicken razala,mishti chholar dal"
"chingri malai curry,daal puri,shukto"
"chicken razala,gulab jamun,mishti chholar dal"
"adhirasam,daal puri"
"adhirasam,chingri bhape,mishti chholar dal"
"chingri malai curry,mishti chholar dal,pantua"
"daal puri,pantua,shukto"
"chingri bhape,daal puri"
"chingri bhape,mishti chholar dal,sandesh"
"chingri bhape,mishti chholar dal,pantua"
"chingri bhape,chingri malai curry,daal puri"
"chingri malai curry,daal puri,ledikeni"
"chicken razala,daal puri,goja"
"daal puri,ledikeni,pantua"
"chicken razala,gulab jamun,mishti chholar dal"
"daal puri,ledikeni,pantua"
"chingri malai curry,mishti chholar dal,pantua"
"chicken razala,chingri bhape,mishti chholar dal"
"chicken razala,mishti chholar dal,pantua"
"kabiraji,mishti chholar dal"
"imarti,ledikeni,mishti chholar dal"
"adhirasam,daal puri"
"daal puri,misti doi,sandesh"
"chicken razala,chingri bhape,mishti chholar dal"
"balu shahi,cheera doi,daal puri"
"adhirasam,daal puri,mihidana"
"chingri malai curry,mishti chholar dal,pantua"
"adhirasam,daal puri,ledikeni"
"mishti chholar dal,pantua,rasgulla"
"adhirasam,daal puri,mihidana"
"daal puri,pantua"
"chingri malai curry,mishti chholar dal,pantua"
"chicken razala,daal puri"
"chingri bhape,chingri malai curry,mishti chholar dal"
"cheera doi,kalakand,mishti chholar dal"
"chingri malai curry,mishti chholar dal,pantua"
"adhirasam,chicken razala,mishti chholar dal"
"chingri malai curry,daal puri,goja"
"adhirasam,chingri malai curry,mishti chholar dal"
"chingri bhape,daal puri,ledikeni"
"adhirasam,mishti chholar dal"
"adhirasam,daal puri,rasgulla"
"adhirasam,chingri malai curry,mishti chholar dal"
"adhirasam,daal puri,imarti"
"adhirasam,chicken razala,daal puri"
"balu shahi,mishti chholar dal,pantua"
"chingri malai curry,mishti chholar dal,pantua"
"adhirasam,kabiraji,mishti chholar dal"
"chicken razala,chingri malai curry,daal puri"
"kabiraji,mishti chholar dal,pantua"
"chicken razala,chingri malai curry,mishti chholar dal"
"chingri bhape,daal puri,luchi"
"luchi,mishti chholar dal,pantua"
"daal puri,misti doi"
"chingri bhape,mishti chholar dal"
"imarti,mihidana,mishti chholar dal"
"chicken razala,chingri bhape,mishti chholar dal"
"adhirasam,daal puri,gulab jamun"
"chingri malai curry,kalakand,mishti chholar dal"
"chingri bhape,daal puri,pantua"
"mishti chholar dal,misti doi,pantua"
"daal puri,imarti,pantua"
"cham cham,imarti,mishti chholar dal"
"adhirasam,chingri bhape,daal puri"
"chingri malai curry,daal puri"
"chingri bhape,daal puri,pantua"
"chingri malai curry,daal puri"
"chicken razala,chingri bhape,daal puri"
"chicken razala,chingri malai curry,daal puri"
"daal puri,pantua,rasgulla"
"chingri malai curry,daal puri,pantua"
"adhirasam,cheera doi,mishti chholar dal"
"cham cham,chicken razala,daal puri"
"daal puri,ledikeni,pantua"
"adhirasam,kabiraji,mishti chholar dal"
"adhirasam,mishti chholar dal,prawn malai curry"
"chingri malai curry,mishti chholar dal,pantua"
"chingri malai curry,mishti chholar dal,prawn malai curry"
"adhirasam,chingri bhape,daal puri"
"chingri bhape,daal puri,ledikeni"
"adhirasam,chingri bhape,daal puri"
"chicken razala,chingri bhape,mishti chholar dal"
"balu shahi,chingri malai curry,mishti chholar dal"
"adhirasam,chicken razala,daal puri"
"chicken razala,chingri malai curry,mishti chholar dal"
"chingri malai curry,imarti,mishti chholar dal"
"cham cham,chingri bhape,mishti chholar dal"
"adhirasam,mishti chholar dal,pantua"
"adhirasam,mishti chholar dal,pantua"
"balu shahi,chingri malai curry,daal puri"
"daal puri,kabiraji,rasgulla"
"chicken razala,mishti chholar dal,prawn malai curry"
"chingri malai curry,imarti,mishti chholar dal"
"chingri malai curry,kabiraji,mishti chholar dal"
"cheera doi,chingri bhape,mishti chholar dal"
"chicken razala,chingri bhape,daal puri"
"daal puri,pantua,rasgulla"
"adhirasam,chingri malai curry,mishti chholar dal"
"chicken razala,mishti chholar dal,pantua"
"luchi,mishti chholar dal"
"adhirasam,chingri malai curry,mishti chholar dal"
"adhirasam,daal puri,sandesh"
"chingri malai curry,daal puri"
"mishti chholar dal,pantua"
"adhirasam,chicken razala,mishti chholar dal"
"adhirasam,daal puri"
"chingri malai curry,daal puri,gulab jamun"
"cham cham,chicken razala,mishti chholar dal"
"chingri bhape,mishti chholar dal,prawn malai curry"
"chicken razala,chingri malai curry,mishti chholar dal"
"chingri malai curry,kalakand,mishti chholar dal"
"chicken razala,chingri malai curry,mishti chholar dal"
"adhirasam,daal puri,ras malai"
"adhirasam,daal puri,pantua"
"chingri bhape,daal puri,goja"
"chicken razala,chingri bhape,daal puri"
"chicken razala,daal puri,kabiraji"
"chingri malai curry,mishti chholar dal,pantua"
"daal puri,misti doi,pantua"
"cham cham,chingri bhape,daal puri"
"adhirasam,mishti chholar dal,pantua"
"adhirasam,luchi,mishti chholar dal"
"daal puri,kabiraji,shukto"
"chingri malai curry,mishti chholar dal,misti doi"
"chicken razala,daal puri"
"chicken razala,daal puri,pantua"
"chicken razala,daal puri,pantua"
"chicken razala,chingri malai curry,mishti chholar dal"
"chicken razala,daal puri,pantua"
"chingri malai curry,mishti chholar dal"
"adhirasam,chingri malai curry,daal puri"
"ledikeni,mishti chholar dal,shukto"
"chicken razala,chingri malai curry,mishti chholar dal"
"adhirasam,chingri bhape,daal puri"
"daal puri,ras malai,shukto"
"adhirasam,chingri malai curry,mishti chholar dal"
"chingri bhape,daal puri,ras malai"
"adhirasam,daal puri,pantua"
"gulab jamun,mishti chholar dal,prawn malai curry"
"adhirasam,mishti chholar dal,ras malai"
"adhirasam,chicken razala,mishti chholar dal"
"chicken razala,daal puri,pantua"
"chingri bhape,mishti chholar dal,ras malai"
"chingri malai curry,mishti chholar dal,prawn malai curry"
"balu shahi,mishti chholar dal,shukto"
"chingri malai curry,mishti chholar dal,prawn malai curry"
"cham cham,chicken razala,daal puri"
"daal puri,pantua,prawn malai curry"
"chingri malai curry,daal puri"
"balu shahi,mishti chholar dal,pantua"
"chingri bhape,kalakand,mishti chholar dal"
"chingri malai curry,daal puri,pantua"
"cham cham,chingri malai curry,mishti chholar dal"
"adhirasam,chingri malai curry,mishti chholar dal"
"chingri malai curry,daal puri,prawn malai curry"
"adhirasam,imarti,mishti chholar dal"
"chicken razala,daal puri"
"chicken razala,daal puri,goja"
"balu shahi,daal puri,kalakand"
"chingri malai curry,mishti chholar dal"
"chingri malai curry,mihidana,mishti chholar dal"
"adhirasam,mishti chholar dal"
"adhirasam,chicken razala,daal puri"
"chingri bhape,daal puri"
"daal puri,kalakand,pantua"
"adhirasam,mishti chholar dal,pantua"
"daal puri,kabiraji,pantua"
"chingri bhape,chingri malai curry,daal puri"
"chicken razala,chingri malai curry,daal puri"
"balu shahi,gulab jamun,mishti chholar dal"
"adhirasam,chingri malai curry,mishti chholar dal"
"chicken razala,chingri bhape,daal puri"
"adhirasam,cham cham,mishti chholar dal"
"chingri bhape,chingri malai curry,daal puri"
"adhirasam,mishti chholar dal,pantua"
"adhirasam,chicken razala,mishti chholar dal"
"mishti chholar dal,sandesh"
"daal puri,pantua,ras malai"
"cheera doi,mishti chholar dal,sandesh"
"daal puri,misti doi,pantua"
"cheera doi,daal puri,pantua"
"daal puri,goja,gulab jamun"
"kalakand,mishti chholar dal,pantua"
"mihidana,mishti chholar dal,rasgulla"
"chingri bhape,mishti chholar dal"
"adhirasam,cham cham,mishti chholar dal"
"chicken razala,chingri malai curry,daal puri"
"chingri malai curry,mishti chholar dal,pantua"
"adhirasam,chingri bhape,mishti chholar dal"
"mishti chholar dal,pantua,prawn malai curry"
"adhirasam,balu shahi,mishti chholar dal"
"adhirasam,mishti chholar dal,pantua"
"adhirasam,chingri bhape,mishti chholar dal"
"daal puri,luchi,sandesh"
"adhirasam,chingri bhape,daal puri"
"chicken razala,daal puri,imarti"
"daal puri,ledikeni,rasgulla"
"chingri bhape,daal puri,ras malai"
"chicken razala,mishti chholar dal,ras malai"
"luchi,mishti chholar dal,pantua"
"chicken razala,chingri bhape,mishti chholar dal"
"adhirasam,mishti chholar dal,pantua"
"chingri bhape,mishti chholar dal,sandesh"
"daal puri,ledikeni,prawn malai curry"
"adhirasam,chingri bhape,daal puri"
"chicken razala,daal puri,pantua"
"chingri malai curry,daal puri,rasgulla"
"chingri malai curry,daal puri,pantua"
"adhirasam,chingri bhape,mishti chholar dal"
"chingri malai curry,daal puri,prawn malai curry"
"mishti chholar dal,pantua,ras malai"
"mishti chholar dal,shukto"
"adhirasam,chingri bhape,mishti chholar dal"
"adhirasam,chicken razala,mishti chholar dal"
"cheera doi,chingri malai curry,mishti chholar dal"
"adhirasam,chicken razala,mishti chholar dal"
"chingri malai curry,mishti chholar dal"
"chicken razala,mishti chholar dal,pantua"
"adhirasam,daal puri,pantua"
"kabiraji,mishti chholar dal,shukto"
"chicken razala,chingri bhape,daal puri"
"daal puri,pantua"
"chingri bhape,daal puri,kabiraji"
"chingri bhape,daal puri,luchi"
"adhirasam,daal puri,kabiraji"
"chicken razala,chingri malai curry,daal puri"
"gulab jamun,mishti chholar dal,rasgulla"
"chingri bhape,daal puri,pantua"
"chicken razala,chingri bhape,daal puri"
"daal puri,imarti,pantua"
"chicken razala,chingri malai curry,mishti chholar dal"
"chicken razala,mishti chholar dal"
"chicken razala,daal puri,pantua"
"adhirasam,chingri malai curry,daal puri"
"adhirasam,daal puri,gulab jamun"
"balu shahi,chingri malai curry,daal puri"
"chicken razala,chingri malai curry,daal puri"
"daal puri,mihidana,rasgulla"
"chicken razala,daal puri,imarti"
"daal puri,kalakand"
"cham cham,chingri bhape,daal puri"
"adhirasam,daal puri"
"chicken razala,chingri bhape,mishti chholar dal"
"mishti chholar dal,misti doi"
"chingri malai curry,daal puri,pantua"
"chicken razala,chingri malai curry,daal puri"
"daal puri,pantua"
"chicken razala,chingri bhape,daal puri"
"chingri malai curry,daal puri,mihidana"
"adhirasam,balu shahi,mishti chholar dal"
"chingri bhape,daal puri,pantua"
"chicken razala,mishti chholar dal,pantua"
"cheera doi,chingri malai curry,daal puri"
"chicken razala,daal puri,pantua"
"chicken razala,mishti chholar dal,pantua"
"adhirasam,chingri malai curry,daal puri"
"daal puri,ledikeni"
"chingri bhape,chingri malai curry,daal puri"
"chingri malai curry,mishti chholar dal"
"chingri bhape,mishti chholar dal"
"chingri bhape,kalakand,mishti chholar dal"
"adhirasam,chingri bhape,mishti chholar dal"
"chicken razala,daal puri,pantua"
"adhirasam,daal puri,pantua"
"chicken razala,mishti chholar dal"
"chicken razala,chingri bhape,mishti chholar dal"
"chingri bhape,chingri malai curry,daal puri"
"chingri malai curry,daal puri,pantua"
"adhirasam,daal puri,misti doi"
"adhirasam,chingri malai curry,mishti chholar dal"
"chicken razala,mishti chholar dal,misti doi"
"chicken razala,mishti chholar dal"
"adhirasam,chicken razala,mishti chholar dal"
"chingri bhape,chingri malai curry,daal puri"
"adhirasam,daal puri"
"chingri bhape,daal puri"
"chicken razala,chingri malai curry,daal puri"
"daal puri,pantua"
"daal puri,luchi,pantua"
"adhirasam,chicken razala,mishti chholar dal"
"adhirasam,daal puri,pantua"
"adhirasam,daal puri,pantua"
"adhirasam,kalakand,mishti chholar dal"
"chicken razala,chingri malai curry,daal puri"
"daal puri,kabiraji,pantua"
"chicken razala,chingri malai curry,mishti chholar dal"
"adhirasam,chingri malai curry,mishti chholar dal"
"adhirasam,cham cham,daal puri"
"chingri bhape,mishti chholar dal,misti doi"
"daal puri,pantua"
"adhirasam,daal puri,pantua"
"adhirasam,chicken razala,daal puri"
"adhirasam,goja,mishti chholar dal"
"chicken razala,daal puri"
"chingri bhape,daal puri,gulab jamun"
"chingri bhape,chingri malai curry,daal puri"
"daal puri,pantua,rasgulla"
"cheera doi,mishti chholar dal,pantua"
"adhirasam,chingri bhape,daal puri"
"chingri malai curry,mishti chholar dal"
"chingri bhape,mishti chholar dal,ras malai"
"adhirasam,daal puri,pantua"
"chicken razala,daal puri,pantua"
"chingri malai curry,daal puri"
"cham cham,chicken razala,daal puri"
"adhirasam,cham cham,mishti chholar dal"
"daal puri,pantua,ras malai"
"chicken razala,daal puri,pantua"
"gulab jamun,mishti chholar dal,misti doi"
"daal puri,imarti,rasgulla"
"chicken razala,daal puri,misti doi"
"adhirasam,chicken razala,mishti chholar dal"
"adhirasam,chicken razala,mishti chholar dal"
"chingri bhape,daal puri,pantua"
"adhirasam,chicken razala,mishti chholar dal"
"chingri bhape,daal puri,ledikeni"
"cheera doi,chingri malai curry,mishti chholar dal"
"adhirasam,mishti chholar dal"
"chingri malai curry,mishti chholar dal,pantua"
"chingri malai curry,daal puri,pantua"
"adhirasam,mishti chholar dal,pantua"
"chicken razala,chingri malai curry,daal puri"
"chingri malai curry,daal puri,rasgulla"
"mishti chholar dal,prawn malai curry,sandesh"
"chingri malai curry,mishti chholar dal,rasgulla"
"chicken razala,daal puri,pantua"
"chicken razala,daal puri,shukto"
"chicken razala,chingri bhape,daal puri"
"adhirasam,chingri bhape,mishti chholar dal"
"adhirasam,daal puri,pantua"
"chicken razala,daal puri,kalakand"
"chingri bhape,daal puri,pantua"
"chingri bhape,mishti chholar dal,pantua"
"chicken razala,daal puri,pantua"
"adhirasam,daal puri,pantua"
"adhirasam,mishti chholar dal,pantua"
"chingri bhape,daal puri,shukto"
"balu shahi,chingri bhape,mishti chholar dal"
"balu shahi,chicken razala,mishti chholar dal"
"chingri malai curry,daal puri,kabiraji"
"adhirasam,chicken razala,mishti chholar dal"
"ledikeni,mishti chholar dal,ras malai"
"adhirasam,chingri malai curry,daal puri"
"chicken razala,chingri bhape,mishti chholar dal"
"chingri bhape,daal puri"
"adhirasam,daal puri,imarti"
"kalakand,mishti chholar dal,pantua"
"chingri bhape,mishti chholar dal"
"chicken razala,chingri malai curry,daal puri"
"chingri bhape,daal puri"
"daal puri,pantua"
"chicken razala,chingri bhape,mishti chholar dal"
"adhirasam,chicken razala,mishti chholar dal"
"adhirasam,daal puri,imarti"
"adhirasam,daal puri,pantua"
"chicken razala,mishti chholar dal,pantua"
"chicken razala,chingri bhape,daal puri"
"adhirasam,daal puri,ras malai"
"chingri malai curry,daal puri,sandesh"
"chingri bhape,daal puri,misti doi"
"chingri malai curry,daal puri,gulab jamun"
"chingri bhape,daal puri,mihidana"
"cheera doi,chicken razala,daal puri"
"daal puri,pantua"
"balu shahi,mishti chholar dal,prawn malai curry"
"adhirasam,ledikeni,mishti chholar dal"
"chicken razala,mishti chholar dal,pantua"
"adhirasam,chingri malai curry,daal puri"
"mishti chholar dal,pantua"
"chicken razala,daal puri,misti doi"
"chingri malai curry,mishti chholar dal,pantua"
"adhirasam,chingri malai curry,daal puri"
"chicken razala,mihidana,mishti chholar dal"
"chingri bhape,daal puri,pantua"
"chingri malai curry,daal puri,kalakand"
"chicken razala,mishti chholar dal"
"adhirasam,chicken razala,daal puri"
"chingri bhape,chingri malai curry,mishti chholar dal"
"chingri bhape,daal puri,misti doi"
"chicken razala,daal puri,gulab jamun"
"cham cham,chingri malai curry,daal puri"
"chingri bhape,chingri malai curry,daal puri"
"chingri bhape,chingri malai curry,daal puri"
"chicken razala,chingri malai curry,mishti chholar dal"
"adhirasam,daal puri,prawn malai curry"
"chingri bhape,daal puri"
"mishti chholar dal,pantua,sandesh"
"adhirasam,chicken razala,mishti chholar dal"
"chicken razala,daal puri,sandesh"
"adhirasam,kalakand,mishti chholar dal"
"adhirasam,chingri malai curry,daal puri"
"chingri bhape,daal puri,luchi"
"kabiraji,mishti chholar dal,shukto"
"cham cham,goja,mishti chholar dal"
"goja,mihidana,mishti chholar dal"
"chingri bhape,daal puri,rasgulla"
"daal puri,pantua,prawn malai curry"
"cham cham,chicken razala,mishti chholar dal"
"chicken razala,daal puri,pantua"
"chingri bhape,mishti chholar dal"
"chicken razala,daal puri,pantua"
"mishti chholar dal,pantua,ras malai"
"daal puri,kalakand,ras malai"
"adhirasam,chingri bhape,daal puri"
"adhirasam,chingri bhape,mishti chholar dal"
"chicken razala,daal puri,misti doi"
"chingri bhape,chingri malai curry,mishti chholar dal"
"chingri bhape,chingri malai curry,mishti chholar dal"
"chingri malai curry,kabiraji,mishti chholar dal"
"daal puri,imarti,ledikeni"
"chicken razala,daal puri,pantua"
"adhirasam,chingri malai curry,mishti chholar dal"
"chingri bhape,mishti chholar dal,pantua"
"chicken razala,ledikeni,mishti chholar dal"
"daal puri,luchi,ras malai"
"chicken razala,mishti chholar dal,shukto"
"chingri bhape,daal puri,pantua"
"adhirasam,chicken razala,mishti chholar dal"
"chicken razala,ledikeni,mishti chholar dal"
"imarti,ledikeni,mishti chholar dal"
"adhirasam,chingri bhape,mishti chholar dal"
"balu shahi,chingri malai curry,mishti chholar dal"
"goja,kabiraji,mishti chholar dal"
"chicken razala,daal puri,kalakand"
"mishti chholar dal,pantua"
"adhirasam,chicken razala,daal puri"
"adhirasam,chicken razala,daal puri"
"chicken razala,mishti chholar dal"
"chingri bhape,mishti chholar dal"
"chicken razala,daal puri,ledikeni"
"chingri bhape,chingri malai curry,daal puri"
"adhirasam,chingri malai curry,mishti chholar dal"
