transaction_items
"daal puri,kalakand"
"goja,gulab jamun,mishti chholar dal"
"goja,mishti chholar dal"
"gulab jamun,kabiraji,mishti chholar dal"
"cheera doi,mishti chholar dal,ras malai"
"balu shahi,mishti chholar dal,pantua"
"kabiraji,kalakand,mishti chholar dal"
"daal puri,kalakand"
"daal puri,prawn malai curry,sandesh"
"daal puri,kalakand,misti doi"
"daal puri,gulab jamun,sandesh"
"gulab jamun,imarti,mishti chholar dal"
"balu shahi,daal puri,kalakand"
"goja,kabiraji,mishti chholar dal"
"gulab jamun,mishti chholar dal,rasgulla"
"balu shahi,chingri bhape,mishti chholar dal"
"daal puri,goja,misti doi"
"balu shahi,cheera doi,daal puri"
"daal puri,kabiraji,ras malai"
"cham cham,daal puri,kabiraji"
"daal puri,goja,kabiraji"
"balu shahi,goja,mishti chholar dal"
"daal puri,gulab jamun,kabiraji"
"daal puri,kabiraji"
"daal puri,kalakand"
"daal puri,kabiraji,prawn malai curry"
"adhirasam,goja,mishti chholar dal"
"balu shahi,luchi,mishti chholar dal"
"balu shahi,gulab jamun,mishti chholar dal"
"cheera doi,daal puri,gulab jamun"
"luchi,mishti chholar dal,ras malai"
"balu shahi,chingri bhape,daal puri"
"daal puri,kabiraji"
"chingri malai curry,gulab jamun,mishti chholar dal"
"balu shahi,daal puri"
"gulab jamun,ledikeni,mishti chholar dal"
"cham cham,daal puri,gulab jamun"
"balu shahi,daal puri,imarti"
"balu shahi,goja,mishti chholar dal"
"goja,gulab jamun,mishti chholar dal"
"balu shahi,daal puri,gulab jamun"
"goja,mishti chholar dal"
"adhirasam,chingri bhape,mishti chholar dal"
"daal puri,gulab jamun,kalakand"
"balu shahi,kabiraji,mishti chholar dal"
"goja,kalakand,mishti chholar dal"
"daal puri,kabiraji,ledikeni"
"cheera doi,chicken razala,daal puri"
"cham cham,daal puri,imarti"
"cheera doi,mishti chholar dal,rasgulla"
"cham cham,chingri malai curry,daal puri"
"daal puri,kalakand"
"balu shahi,gulab jamun,mishti chholar dal"
"chingri malai curry,daal puri,pantua"
"chicken razala,daal puri,rasgulla"
"balu shahi,daal puri,prawn malai curry"
"gulab jamun,imarti,mishti chholar dal"
"chicken razala,daal puri,kabiraji"
"goja,imarti,mishti chholar dal"
"balu shahi,daal puri,gulab jamun"
"chingri bhape,gulab jamun,mishti chholar dal"
"daal puri,kalakand,mihidana"
"daal puri,gulab jamun,kalakand"
"chicken razala,chingri malai curry,daal puri"
"kalakand,mishti chholar dal,sandesh"
"daal puri,goja,kabiraji"
"balu shahi,gulab jamun,mishti chholar dal"
"cheera doi,daal puri,kalakand"
"daal puri,ledikeni,shukto"
"balu shahi,daal puri,goja"
"goja,gulab jamun,mishti chholar dal"
"kabiraji,kalakand,mishti chholar dal"
"goja,gulab jamun,mishti chholar dal"
"daal puri,gulab jamun,kabiraji"
"daal puri,goja,kalakand"
"gulab jamun,mishti chholar dal"
"daal puri,kabiraji,kalakand"
"daal puri,goja,kalakand"
"gulab jamun,kabiraji,mishti chholar dal"
"daal puri,goja,kalakand"
"cheera doi,chingri bhape,mishti chholar dal"
"chicken razala,goja,mishti chholar dal"
"daal puri,gulab jamun"
"balu shahi,kalakand,mishti chholar dal"
"daal puri,prawn malai curry,shukto"
