transaction_items
"mishti chholar dal,shukto"
"daal puri,goja,shukto"
"adhirasam,gulab jamun,mishti chholar dal"
"chicken razala,daal puri,gulab jamun"
"goja,gulab jamun,mishti chholar dal"
"daal puri,kabiraji,shukto"
"adhirasam,cheera doi,mishti chholar dal"
"goja,mishti chholar dal,shukto"
"goja,mishti chholar dal,shukto"
"goja,mishti chholar dal,misti doi"
"daal puri,goja"
"cham cham,kabiraji,mishti chholar dal"
"mishti chholar dal,shukto"
"chingri malai curry,daal puri,shukto"
"daal puri,imarti,sandesh"
"daal puri,kabiraji"
"daal puri,gulab jamun,shukto"
"balu shahi,chingri malai curry,daal puri"
"daal puri,goja,gulab jamun"
"goja,gulab jamun,mishti chholar dal"
"daal puri,kabiraji,pantua"
"gulab jamun,mishti chholar dal"
"daal puri,goja,shukto"
"cham cham,daal puri,goja"
"adhirasam,balu shahi,daal puri"
"balu shahi,chingri malai curry,daal puri"
"cheera doi,daal puri,shukto"
"kabiraji,mishti chholar dal,rasgulla"
"daal puri,gulab jamun,shukto"
"imarti,kabiraji,mishti chholar dal"
"adhirasam,cham cham,mishti chholar dal"
"gulab jamun,kabiraji,mishti chholar dal"
"goja,mishti chholar dal,shukto"
"kabiraji,mishti chholar dal,misti doi"
"chingri malai curry,goja,mishti chholar dal"
"goja,mishti chholar dal,shukto"
"daal puri,mihidana,sandesh"
"daal puri,goja,gulab jamun"
"cham cham,gulab jamun,mishti chholar dal"
"chingri bhape,kabiraji,mishti chholar dal"
"ledikeni,mishti chholar dal,shukto"
"daal puri,kabiraji,misti doi"
"daal puri,kabiraji,shukto"
"daal puri,ras malai,shukto"
"daal puri,goja,shukto"
"kabiraji,mishti chholar dal,rasgulla"
"daal puri,misti doi"
"mishti chholar dal,sandesh,shukto"
"daal puri,kalakand,shukto"
"daal puri,gulab jamun,ras malai"
"chingri bhape,mishti chholar dal,ras malai"
"adhirasam,mishti chholar dal,shukto"
"cheera doi,kalakand,mishti chholar dal"
"chingri bhape,daal puri,misti doi"
"daal puri,shukto"
"daal puri,imarti,shukto"
"chicken razala,daal puri,goja"
"chicken razala,chingri bhape,daal puri"
"kabiraji,mishti chholar dal,shukto"
"goja,mishti chholar dal"
"daal puri,sandesh"
"gulab jamun,kabiraji,mishti chholar dal"
"daal puri,gulab jamun,kabiraji"
"adhirasam,cham cham,daal puri"
"balu shahi,daal puri,goja"
"gulab jamun,mishti chholar dal,shukto"
"daal puri,goja,kabiraji"
"chicken razala,gulab jamun,mishti chholar dal"
"daal puri,gulab jamun,kabiraji"
"kabiraji,mishti chholar dal"
"chingri bhape,mishti chholar dal,misti doi"
"chingri bhape,mishti chholar dal,misti doi"
"chingri malai curry,gulab jamun,mishti chholar dal"
"daal puri,goja,shukto"
"gulab jamun,kabiraji,mishti chholar dal"
"adhirasam,kabiraji,mishti chholar dal"
"adhirasam,mishti chholar dal,ras malai"
"gulab jamun,mishti chholar dal,misti doi"
"kabiraji,luchi,mishti chholar dal"
"ledikeni,mishti chholar dal,shukto"
